DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6
8042410,108,0,0.0023673188,0.0023805834,0.25903273,0.73145986,0.002381112,0.0023783238
8132718,108,0,0.0017814806,0.7353404,0.257515,0.0017855705,0.0017868265,0.0017907579
8707050,108,0,0.0028960325,0.002892227,0.8156452,0.0028859419,0.0028910525,0.17278956
9175625,108,0,0.0018744675,0.10262368,0.7885524,0.0018737246,0.0018745491,0.103201106
9245791,108,0,0.0036486266,0.0036588602,0.9817568,0.0036521,0.0036465868,0.0036370668
9346876,108,0,0.0020974101,0.002102134,0.46806413,0.0020985988,0.0020989173,0.5235388
9352931,108,0,0.0020513355,0.002057209,0.54290456,0.284844,0.0020516235,0.16609128
9591694,108,0,0.0019955987,0.001995832,0.705755,0.0019937605,0.0019927125,0.286267
10051610,108,0,0.003907613,0.0039317664,0.49072883,0.003922484,0.0039076465,0.49360168
10087618,108,0,0.0052476306,0.06781424,0.61833125,0.0052179024,0.005224688,0.2981643
10100328,108,0,0.0022612223,0.0022648373,0.909394,0.0815502,0.002263101,0.0022666436
10320929,108,0,0.0036402785,0.98172647,0.0036836164,0.0036405697,0.0036385297,0.003670521
10531012,108,0,0.0018382586,0.001845957,0.7636923,0.0018465985,0.0018836772,0.22889325
10700148,108,0,0.0049307034,0.09756091,0.76014596,0.0049335393,0.004960386,0.12746857
10806067,108,0,0.0019458507,0.9902497,0.001959643,0.0019474134,0.0019469756,0.001950466
10946305,108,0,0.0027606562,0.0027605814,0.44946188,0.0027580166,0.22848116,0.31377771
10969025,108,0,0.0024585356,0.0024594779,0.9876752,0.0024649678,0.0024724568,0.0024693375
11950889,108,0,0.0016133208,0.0016125438,0.9919287,0.0016141509,0.0016176802,0.0016135985
12297500,108,0,0.0018150428,0.0018189388,0.7111948,0.0018142773,0.0018078331,0.28154904
12417022,108,0,0.002537159,0.0025465775,0.9873017,0.0025414468,0.0025419474,0.002531216
12496124,108,0,0.00342202,0.2595974,0.6488499,0.0034334324,0.0034220796,0.08127516
12496132,108,0,0.001741307,0.0017418375,0.99127686,0.0017412233,0.0017395713,0.0017591146
12511612,108,0,0.001470041,0.0014696675,0.99263006,0.0014878507,0.0014719265,0.0014704128
12516860,108,0,0.003353981,0.003383782,0.6867048,0.0033618517,0.0033687365,0.29982683
8908519,109,1,0.0024946209,0.18778424,0.0025068962,0.0024916187,0.0025057457,0.8022169
8940425,109,1,0.0019285792,0.0019223795,0.0019280694,0.0019283663,0.0019322478,0.9903603
9187765,109,1,0.00478031,0.004784642,0.0047804713,0.004771462,0.004765352,0.9761178
9666006,109,1,0.004284955,0.004283757,0.004286818,0.00428324,0.0042763217,0.97858495
9676381,109,1,0.0026224526,0.0026258866,0.002620761,0.0026144176,0.002612882,0.98690355
9889212,109,1,0.0016551401,0.001639267,0.0016531934,0.14095451,0.0016514331,0.85244644
10029323,109,1,0.0015918828,0.0015956861,0.0015973418,0.0015934146,0.0015913775,0.9920303
10084106,109,1,0.0021211056,0.0021243587,0.002118333,0.0021156839,0.002114592,0.98940593
10224010,109,1,0.002991963,0.0030344476,0.21017529,0.0030173634,0.14543617,0.6353448
10440566,109,1,0.0030610152,0.26761597,0.0030379028,0.0030468197,0.0030387861,0.72019947
10457842,109,1,0.0026163585,0.002609696,0.0026118155,0.0026114539,0.002609836,0.98694086
10574095,109,1,0.0040838257,0.004075768,0.004081996,0.004077685,0.0040803473,0.97960037
10599890,109,1,0.0021790592,0.0022356731,0.0021847105,0.002171554,0.002175367,0.9890536
10620568,109,1,0.06504346,0.0021860918,0.0021800424,0.0021817167,0.0021853184,0.92622334
10652180,109,1,0.0023872554,0.0023913388,0.0023872314,0.0023990157,0.0023987147,0.98803645
10742226,109,1,0.0014687651,0.0014648563,0.001465842,0.001469686,0.0014705553,0.99266034
10769755,109,1,0.0022337905,0.0022310917,0.0022289206,0.0022308955,0.0022384757,0.9888368
10966386,109,1,0.0029403383,0.0029381434,0.0029299282,0.0029375406,0.0029418266,0.9853122
12144770,109,1,0.0025754306,0.002580848,0.0025711367,0.0025753274,0.0025751411,0.98712206
12211279,109,1,0.0013729329,0.0013730471,0.0013683921,0.0013705916,0.0013731438,0.9931419
12218656,109,1,0.16425197,0.07265905,0.002759641,0.002744408,0.0027490875,0.7548358
12374402,109,1,0.00265145,0.0026505052,0.0026582563,0.0026628317,0.025265284,0.9641116
12454166,109,1,0.22261131,0.0017841036,0.0017865328,0.115428634,0.0017875191,0.6566019
12495014,109,1,0.0030050944,0.003000075,0.23191632,0.003012147,0.13652775,0.6225386
1669719,111,2,0.9857733,0.0028706444,0.00284005,0.0028431804,0.0028370572,0.0028357827
7774117,111,2,0.991467,0.0017075151,0.0017073315,0.0017063586,0.0017069265,0.0017048971
7856030,111,2,0.9813697,0.0037195233,0.0037175536,0.0037306843,0.0037269006,0.0037356762
7913756,111,2,0.99203324,0.0015944908,0.0015940381,0.0015928635,0.001594007,0.0015913572
7927332,111,2,0.9909839,0.0018024846,0.001802115,0.0018092863,0.0018033219,0.0017989542
7991124,111,2,0.9416735,0.048461564,0.002476172,0.002466243,0.0024609808,0.0024616406
8137126,111,2,0.98524547,0.0029537696,0.0029537398,0.0029394296,0.002939323,0.002968248
8137132,111,2,0.99224937,0.0015526087,0.0015508624,0.0015455248,0.001556309,0.0015452888
8618678,111,2,0.9602787,0.0037162283,0.003721126,0.0037299315,0.024839617,0.0037144448
8657630,111,2,0.86094445,0.11737504,0.0054130554,0.0054191416,0.0053868135,0.0054614586
8797471,111,2,0.9877051,0.002461903,0.0024552527,0.0024594734,0.0024571272,0.0024610888
8937783,111,2,0.9904929,0.0018997315,0.0018981197,0.0019016571,0.0019086536,0.0018988492
9128415,111,2,0.99282193,0.0014336538,0.0014358871,0.0014377405,0.0014319464,0.0014388107
9239743,111,2,0.9881632,0.0023617183,0.002370862,0.0023737093,0.0023635307,0.0023670474
