DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21
8132718,108,0,0.0004909603,0.0004909603,0.0004909603,0.5962363,0.0004909603,0.0004909603,0.0004909603,0.0004909603,0.0004909603,0.0004909603,0.0004909603,0.0004909603,0.0004909603,0.0004909603,0.0004909603,0.0004909603,0.0004909603,0.0004909603,0.0004909603,0.39443544,0.0004909603
8673465,108,0,0.0005232937,0.0005232937,0.0005232937,0.0005232937,0.0005232937,0.0005232937,0.0005232937,0.0005232937,0.0005232937,0.0005232937,0.0005232937,0.0005232937,0.0005232937,0.98953384,0.0005232937,0.0005232937,0.0005232937,0.0005232937,0.0005232937,0.0005232937,0.0005232937
8707050,108,0,0.0008210679,0.0008210679,0.0008210679,0.0008210679,0.42122427,0.0008210679,0.0008210679,0.0008210679,0.0008210679,0.0008210679,0.0008210679,0.0008210679,0.0008210679,0.18983869,0.0008210679,0.0008210679,0.0008210679,0.0008210679,0.0008210679,0.37415794,0.0008210679
9175625,108,0,0.0005602486,0.0005602486,0.0005602486,0.0005602486,0.0005602486,0.0005602486,0.0005602486,0.0005602486,0.0005602486,0.0005602486,0.0005602486,0.0005602486,0.0005602486,0.0005602486,0.0005602486,0.0005602486,0.0005602486,0.0005602486,0.0005602486,0.988795,0.0005602486
9245791,108,0,0.0008985056,0.0008985056,0.98203,0.0008985056,0.0008985056,0.0008985056,0.0008985056,0.0008985056,0.0008985056,0.0008985056,0.0008985056,0.0008985056,0.0008985056,0.0008985056,0.0008985056,0.0008985056,0.0008985056,0.0008985056,0.0008985056,0.0008985056,0.0008985056
9591694,108,0,0.0005066017,0.0005066017,0.0005066017,0.0005066017,0.0005066017,0.0005066017,0.0005066017,0.0005066017,0.0005066017,0.0005066017,0.0005066017,0.0005066017,0.9898677,0.0005066017,0.0005066017,0.0005066017,0.0005066017,0.0005066017,0.0005066017,0.0005066017,0.0005066017
10051610,108,0,0.0011906232,0.0011906232,0.0011906232,0.0011906232,0.0011906232,0.0011906232,0.0011906232,0.0011906232,0.0011906232,0.0011906232,0.0011906232,0.0011906232,0.0011906232,0.0011906232,0.0011906232,0.50798714,0.0011906232,0.0011906232,0.0011906232,0.46939105,0.0011906232
10087618,108,0,0.0014882822,0.0014882822,0.39003348,0.04559829,0.0014882822,0.0014882822,0.0014882822,0.0014882822,0.0014882822,0.0014882822,0.0014882822,0.0014882822,0.048981156,0.40080118,0.0014882822,0.038902454,0.0014882822,0.0014882822,0.0014882822,0.053359315,0.0014882822
10100328,108,0,0.98599285,0.00070030364,0.00070030364,0.00070030364,0.00070030364,0.00070030364,0.00070030364,0.00070030364,0.00070030364,0.00070030364,0.00070030364,0.00070030364,0.00070030364,0.00070030364,0.00070030364,0.00070030364,0.00070030364,0.00070030364,0.00070030364,0.00070030364,0.00070030364
10320929,108,0,0.0010132593,0.0010132593,0.18741883,0.18078868,0.0010132593,0.0010132593,0.0010132593,0.0010132593,0.11447821,0.0010132593,0.0010132593,0.0010132593,0.15536435,0.0010132593,0.0010132593,0.0010132593,0.0010132593,0.0010132593,0.0010132593,0.34573781,0.0010132593
