DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19
8132718,108,0,0.00054265466,0.00054265466,0.5590267,0.4317476,0.00054265466,0.00054265466,0.00054265466,0.00054265466,0.00054265466,0.00054265466,0.00054265466,0.00054265466,0.00054265466,0.00054265466,0.00054265466,0.00054265466,0.00054265466,0.00054265466,0.00054265466
8673465,108,0,0.0005784048,0.00057840487,0.6538972,0.0005784048,0.0005784048,0.00057840487,0.0005784048,0.3362695,0.0005784048,0.0005784048,0.0005784048,0.00057840487,0.00057840487,0.00057840487,0.0005784048,0.0005784048,0.00057840487,0.0005784048,0.00057840487
8707050,108,0,0.025880385,0.042174328,0.5734644,0.00090764294,0.000907643,0.00090764294,0.00090764294,0.05893938,0.03145606,0.000907643,0.000907643,0.000907643,0.03302743,0.00090764294,0.00090764294,0.023708215,0.000907643,0.000907643,0.20136572
9175625,108,0,0.0006192269,0.00061922683,0.9888532,0.00061922683,0.00061922683,0.0006192269,0.00061922683,0.0006192269,0.0006192269,0.00061922683,0.00061922683,0.00061922683,0.00061922683,0.00061922683,0.00061922683,0.00061922683,0.0006192269,0.0006192269,0.0006192269
9245791,108,0,0.000993109,0.000993109,0.9821241,0.0009931091,0.0009931091,0.000993109,0.000993109,0.000993109,0.0009931091,0.000993109,0.000993109,0.0009931091,0.000993109,0.000993109,0.000993109,0.000993109,0.0009931091,0.0009931091,0.000993109
9591694,108,0,0.00055999734,0.00055999734,0.6671263,0.00055999734,0.00055999734,0.17933857,0.00055999734,0.048182998,0.00055999734,0.00055999734,0.0005599973,0.00055999734,0.00055999734,0.0005599973,0.00055999734,0.0969518,0.0005599973,0.0005599973,0.00055999734
10051610,108,0,0.0013159671,0.0013159671,0.3105001,0.0013159671,0.0013159671,0.001315967,0.001315967,0.001315967,0.0013159671,0.001315967,0.001315967,0.001315967,0.13419995,0.0013159671,0.0013159671,0.001315967,0.53424454,0.0013159671,0.0013159671
10087618,108,0,0.0016448436,0.0016448436,0.6291053,0.0016448436,0.0016448436,0.0016448436,0.0016448436,0.0016448437,0.0016448436,0.0016448436,0.0016448436,0.0016448436,0.0016448437,0.34293243,0.0016448436,0.0016448436,0.0016448436,0.0016448436,0.0016448436
10100328,108,0,0.69591904,0.000774027,0.29092163,0.00077402696,0.00077402696,0.00077402696,0.00077402696,0.00077402696,0.000774027,0.00077402696,0.00077402696,0.00077402696,0.00077402696,0.00077402696,0.00077402696,0.00077402696,0.00077402696,0.00077402696,0.000774027
10320929,108,0,0.001119932,0.001119932,0.42640004,0.001119932,0.001119932,0.001119932,0.001119932,0.08976803,0.46591306,0.001119932,0.001119932,0.001119932,0.001119932,0.001119932,0.001119932,0.001119932,0.001119932,0.001119932,0.001119932
10531012,108,0,0.0006050089,0.0006050089,0.5463541,0.000605009,0.000605009,0.0006050089,0.0006050089,0.000605009,0.3441528,0.0006050089,0.0006050089,0.0006050089,0.060769524,0.0006050089,0.0006050089,0.039648023,0.000605009,0.0006050089,0.000605009
10700148,108,0,0.0014620767,0.0014620767,0.9736827,0.0014620767,0.0014620767,0.0014620768,0.0014620767,0.0014620767,0.0014620776,0.0014620767,0.0014620767,0.0014620767,0.0014620767,0.0014620767,0.0014620767,0.0014620767,0.0014620767,0.0014620767,0.0014620767
10725388,108,0,0.0006049965,0.0006049965,0.9891094,0.0006049965,0.0006049965,0.0006049965,0.0006049965,0.0006049965,0.0006049969,0.0006049965,0.0006049965,0.0006049965,0.0006049965,0.0006049965,0.0006049965,0.0006049965,0.0006049965,0.0006049965,0.0006049965
10806067,108,0,0.00064188655,0.0006418866,0.25185692,0.00064188655,0.00064188655,0.00064188655,0.00064188655,0.00064188655,0.00064188655,0.00064188655,0.00064188655,0.0006418866,0.0006418866,0.00064188655,0.00064188655,0.00064188655,0.0006418866,0.737231,0.0006418866
10946305,108,0,0.0008628767,0.00086287665,0.0008628767,0.0008628767,0.00086287665,0.00086287665,0.0008628767,0.0008628767,0.0008628767,0.0008628767,0.04533954,0.0008628767,0.55771637,0.0008628767,0.00086287665,0.0008628767,0.38313803,0.00086287665,0.0008628767
11950889,108,0,0.0005426561,0.0005426561,0.51152825,0.0005426561,0.47924608,0.0005426561,0.0005426561,0.0005426561,0.0005426561,0.0005426561,0.0005426561,0.0005426561,0.0005426561,0.0005426561,0.0005426561,0.0005426561,0.0005426561,0.0005426561,0.0005426561
12217649,108,0,0.0007974776,0.00079747755,0.9856445,0.00079747755,0.00079747755,0.00079747755,0.00079747755,0.00079747755,0.00079747784,0.0007974776,0.00079747755,0.0007974776,0.00079747755,0.00079747755,0.00079747755,0.00079747755,0.00079747755,0.00079747755,0.00079747755
12415118,108,0,0.0006835683,0.0006835683,0.98769504,0.0006835683,0.0006835683,0.0006835683,0.0006835683,0.0006835683,0.0006835683,0.0006835683,0.0006835683,0.0006835683,0.0006835683,0.00068356836,0.0006835683,0.00068356836,0.00068356836,0.0006835683,0.00068356836
12461557,108,0,0.001503845,0.001503845,0.44359192,0.001503845,0.001503845,0.0015038451,0.001503845,0.001503845,0.0015038451,0.001503845,0.001503845,0.0015038451,0.53084284,0.0015038451,0.001503845,0.0015038451,0.0015038451,0.001503845,0.001503845
12496124,108,0,0.0010965829,0.039850157,0.69214195,0.0010965829,0.0010965829,0.0010965829,0.0010965829,0.0010965829,0.0010965829,0.0010965829,0.0010965829,0.0010965829,0.11864232,0.0010965829,0.0010965829,0.13291688,0.0010965829,0.0010965829,0.0010965829
12496132,108,0,0.0005482925,0.0005482925,0.7605342,0.0005482925,0.00054829253,0.0005482925,0.0005482925,0.057110947,0.0005482925,0.119190134,0.0005482925,0.0005482925,0.00054829253,0.00054829253,0.0005482925,0.05493974,0.0005482925,0.00054829253,0.0005482925
12511612,108,0,0.00046170573,0.00046170573,0.9916888,0.0004617057,0.0004617057,0.00046170573,0.00046170573,0.00046170573,0.00046170573,0.0004617057,0.0004617057,0.00046170573,0.0004617057,0.0004617057,0.00046170573,0.0004617057,0.00046170573,0.0004617057,0.00046170573
