DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17
8132718,108,0,0.00060649303,0.00060649315,0.476945,0.5139577,0.000606493,0.00060649315,0.00060649303,0.0006064931,0.0006064931,0.000606493,0.0006064931,0.00060649315,0.0006064932,0.00060649315,0.0006064931,0.00060649303,0.0006064931
8673465,108,0,0.00064643164,0.0006464316,0.0006464317,0.00064643164,0.0006464315,0.0006464316,0.0006464315,0.0006464316,0.00064643164,0.00064643164,0.0006464315,0.00064643164,0.00064643164,0.9896571,0.0006464315,0.0006464316,0.0006464316
8707050,108,0,0.001014358,0.0010143581,0.27607816,0.0010143579,0.4102355,0.001014358,0.0010143581,0.0010143581,0.0010143582,0.001014358,0.001014358,0.0010143578,0.0010143579,0.29948556,0.0010143578,0.0010143581,0.001014358
9175625,108,0,0.000692074,0.00069207395,0.988927,0.00069207407,0.00069207395,0.00069207407,0.00069207395,0.000692074,0.00069207395,0.00069207395,0.00069207395,0.00069207395,0.00069207395,0.0006920743,0.00069207395,0.00069207407,0.00069207407
9245791,108,0,0.0011099468,0.0011099469,0.001109947,0.0011099469,0.0011099468,0.0011099468,0.0011099466,0.0011099466,0.0011099466,0.0011099466,0.0011099466,0.75870806,0.0011099468,0.22464277,0.0011099469,0.0011099468,0.0011099469
9591694,108,0,0.0006258338,0.0006258338,0.54163307,0.00062583387,0.00062583387,0.32737267,0.00062583387,0.0006258338,0.0006258338,0.00062583387,0.00062583387,0.00062583387,0.1222327,0.0006258339,0.00062583375,0.000625834,0.00062583387
10051610,108,0,0.0014707271,0.0014707274,0.3958206,0.0014707271,0.0014707275,0.0014707271,0.0014707271,0.001470727,0.0014707271,0.0014707269,0.0014707271,0.58211875,0.0014707271,0.0014707271,0.0014707271,0.0014707271,0.0014707273
10087618,108,0,0.0018382918,0.0018382916,0.0018382925,0.0018382916,0.0018382918,0.0018382916,0.0018382916,0.0018382918,0.0018382916,0.0018382916,0.0018382916,0.0018382916,0.0018382919,0.97058743,0.0018382915,0.0018382921,0.0018382918
10100328,108,0,0.737134,0.00086509646,0.24988976,0.0008650966,0.0008650964,0.00086509646,0.00086509646,0.00086509663,0.0008650966,0.00086509646,0.00086509646,0.0008650965,0.00086509675,0.00086509675,0.0008650965,0.0008650965,0.0008650966
10320929,108,0,0.0012517096,0.0012517094,0.084259145,0.2674005,0.0012517098,0.0012517098,0.0012517095,0.00125171,0.10766665,0.0012517095,0.0012517098,0.06616093,0.15125377,0.30949038,0.0012517095,0.0012517098,0.0012517095
10531012,108,0,0.0006761777,0.00067617744,0.49422294,0.0006761775,0.00067617744,0.0006761775,0.00067617744,0.0006761777,0.0006761777,0.0006761775,0.00067617744,0.00067617756,0.0006761775,0.0006761776,0.0006761775,0.49563462,0.00067617773
10700148,108,0,0.0016341084,0.0016341086,0.3261652,0.0016341085,0.0016341085,0.0016341086,0.0016341084,0.34343284,0.0016341085,0.0016341085,0.0016341084,0.0016341085,0.0016341091,0.3075246,0.0016341086,0.0016341088,0.0016341087
10725388,108,0,0.0006761642,0.0006761641,0.9891815,0.00067616405,0.0006761641,0.0006761642,0.00067616405,0.00067616405,0.00067616405,0.00067616405,0.00067616405,0.00067616405,0.0006761641,0.00067616405,0.000676164,0.00067616405,0.00067616417
10806067,108,0,0.0007173939,0.0007173938,0.13938159,0.00071739394,0.0007173938,0.0007173938,0.0007173938,0.0007173938,0.0007173939,0.0007173939,0.0007173938,0.0007173939,0.0007173938,0.84985757,0.0007173938,0.0007173938,0.0007173939
10946305,108,0,0.0009644305,0.0009644302,0.0009644305,0.00096443057,0.0009644303,0.62605983,0.0009644303,0.00096443034,0.00096443034,0.00096443034,0.00096443045,0.00096443045,0.00096443057,0.0009644305,0.0009644303,0.00096443034,0.35947388
11950889,108,0,0.0006065304,0.0006065304,0.4097822,0.2626839,0.31904265,0.0006065305,0.00060653035,0.0006065305,0.0006065305,0.0006065303,0.0006065304,0.0006065304,0.0006065304,0.00060653064,0.00060653046,0.0006065306,0.0006065304
12217649,108,0,0.0008912944,0.0008912943,0.9857395,0.0008912943,0.0008912943,0.00089129433,0.0008912943,0.00089129433,0.0008912944,0.00089129433,0.0008912943,0.0008912944,0.0008912944,0.00089129433,0.00089129433,0.0008912944,0.00089129433
12415118,108,0,0.0007639722,0.00076397206,0.0007639723,0.0007639721,0.00076397206,0.00076397206,0.0007639721,0.0007639721,0.0007639721,0.0007639721,0.0007639721,0.0007639721,0.9877765,0.0007639721,0.00076397206,0.0007639721,0.0007639721
12461557,108,0,0.0016807505,0.0016807506,0.001680751,0.0016807512,0.0016807504,0.0016807507,0.0016807504,0.001680751,0.0016807511,0.0016807511,0.0016807504,0.001680751,0.97310805,0.0016807525,0.0016807505,0.0016807509,0.0016807512
