DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30
8042410,108,0,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.98638403,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885,0.00046951885
8132718,108,0,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.98925906,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794,0.0003703794
8673465,108,0,0.0003745433,0.0003745433,0.9891384,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433,0.0003745433
8707050,108,0,0.00058485,0.00058485,0.2953329,0.19076648,0.00058485,0.00058485,0.00058485,0.00058485,0.00058485,0.00058485,0.00058485,0.08170581,0.00058485,0.00058485,0.00058485,0.00058485,0.00058485,0.41698888,0.00058485,0.00058485,0.00058485,0.00058485,0.00058485,0.00058485,0.00058485,0.00058485,0.00058485,0.00058485,0.00058485,0.00058485
9346876,108,0,0.00040654052,0.00040654052,0.00040654052,0.00040654052,0.00040654052,0.46136802,0.00040654052,0.00040654052,0.00040654052,0.20085223,0.00040654052,0.32680327,0.00040654052,0.00040654052,0.00040654052,0.00040654052,0.00040654052,0.00040654052,0.00040654052,0.00040654052,0.00040654052,0.00040654052,0.00040654052,0.00040654052,0.00040654052,0.00040654052,0.00040654052,0.00040654052,0.00040654052,0.00040654052
9352931,108,0,0.00041153812,0.00041153812,0.9880656,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812,0.00041153812
9591694,108,0,0.0003787986,0.0003787986,0.0003787986,0.989015,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986,0.0003787986
10051610,108,0,0.0007752568,0.0007752568,0.0007752568,0.0007752568,0.0007752568,0.0007752568,0.0007752568,0.0007752568,0.0007752568,0.0007752568,0.2915881,0.0007752568,0.0007752568,0.0007752568,0.0007752568,0.0007752568,0.0007752568,0.0007752568,0.0007752568,0.0007752568,0.0007752568,0.0007752568,0.0007752568,0.0007752568,0.0007752568,0.0007752568,0.68670464,0.0007752568,0.0007752568,0.0007752568
10087618,108,0,0.0010101902,0.0010101902,0.54992336,0.0010101902,0.0010101902,0.0010101902,0.0010101902,0.0010101902,0.0010101902,0.21547617,0.15747231,0.0010101902,0.0010101902,0.0010101902,0.0010101902,0.0010101902,0.0010101902,0.0010101902,0.0010101902,0.0010101902,0.050863557,0.0010101902,0.0010101902,0.0010101902,0.0010101902,0.0010101902,0.0010101902,0.0010101902,0.0010101902,0.0010101902
10100328,108,0,0.00048314908,0.00048314908,0.20585975,0.00048314908,0.00048314908,0.00048314908,0.00048314908,0.00048314908,0.00048314908,0.26116338,0.00048314908,0.16195364,0.077464595,0.00048314908,0.00048314908,0.00048314908,0.00048314908,0.00048314908,0.00048314908,0.00048314908,0.00048314908,0.00048314908,0.00048314908,0.28147992,0.00048314908,0.00048314908,0.00048314908,0.00048314908,0.00048314908,0.00048314908
