DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3
8132718,108,0,0.0038209376,0.0038445068,0.99233454
8673465,108,0,0.004113104,0.003986548,0.9919003
8707050,108,0,0.0064734607,0.006313158,0.98721343
9175625,108,0,0.004410453,0.0042000166,0.9913896
9245791,108,0,0.0066630556,0.0068767285,0.9864602
9591694,108,0,0.12722534,0.00396123,0.86881346
10051610,108,0,0.010627157,0.2094384,0.77993447
10087618,108,0,0.0142582,0.011905694,0.9738361
10100328,108,0,0.0052423803,0.0056486684,0.9891089
10320929,108,0,0.008072373,0.008216689,0.98371094
10531012,108,0,0.0041509615,0.003993812,0.99185526
10700148,108,0,0.010709555,0.0109350905,0.9783554
10725388,108,0,0.027529018,0.0050768717,0.96739405
10806067,108,0,0.004538426,0.004400158,0.99106145
10946305,108,0,0.007076343,0.007803279,0.98512036
11950889,108,0,0.0039205886,0.0039600097,0.99211943
12217649,108,0,0.005605997,0.0053673587,0.98902667
12415118,108,0,0.14892796,0.0055515678,0.8455205
12461557,108,0,0.11528932,0.010180575,0.8745301
12496124,108,0,0.0086210845,0.0079340665,0.98344487
12496132,108,0,0.0051218313,0.003684506,0.99119365
12511612,108,0,0.0031623822,0.0032411227,0.9935965
12516859,108,0,0.008601348,0.0073007373,0.9840979
12516860,108,0,0.056095906,0.0072147413,0.9366893
8908519,109,1,0.9890173,0.005315191,0.005667438
8940425,109,1,0.991585,0.0040839897,0.0043310104
9149812,109,1,0.8855199,0.0049508256,0.109529234
9666006,109,1,0.98205626,0.0089666,0.008977172
9676381,109,1,0.9887648,0.0056829466,0.0055522593
9836710,109,1,0.77489495,0.010797875,0.2143071
9889212,109,1,0.9928868,0.0034550966,0.003658099
10029323,109,1,0.9931403,0.0033331248,0.003526594
10419204,109,1,0.99092084,0.004453202,0.0046259686
10440566,109,1,0.986679,0.0070635197,0.006257489
10457842,109,1,0.9887677,0.00570884,0.0055234185
10574095,109,1,0.98158467,0.009214992,0.009200374
10599890,109,1,0.9906345,0.004709486,0.004656026
10620568,109,1,0.9354984,0.059485126,0.0050164955
10652180,109,1,0.990514,0.004554082,0.004931932
10713370,109,1,0.9905867,0.0046790703,0.0047342405
10742226,109,1,0.99369603,0.0031685627,0.0031353936
10769755,109,1,0.9897938,0.004920449,0.0052857692
10877778,109,1,0.99086964,0.004467151,0.004663252
10966386,109,1,0.98697203,0.0064942925,0.006533671
10966441,109,1,0.9886016,0.00569977,0.005698624
12211279,109,1,0.9943559,0.0028000225,0.002844048
12218656,109,1,0.87604153,0.11768231,0.0062761633
12495014,109,1,0.98538387,0.006889551,0.007726565
1669719,111,2,0.0058318377,0.98807156,0.006096603
7856030,111,2,0.007658907,0.9852615,0.007079598
7913756,111,2,0.003385604,0.99320805,0.0034063475
7927332,111,2,0.0040388233,0.9919755,0.0039856997
7936296,111,2,0.00775137,0.9838181,0.008430501
8137132,111,2,0.0035777576,0.99220395,0.004218263
