DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
8042410,108,0,0.002881755,0.09149027,0.3507501,0.46426544,0.09061239
8132718,108,0,0.0021494203,0.9913299,0.002188602,0.002160738,0.0021713036
8707050,108,0,0.0034956965,0.0035220345,0.9860146,0.0034769108,0.0034907646
9175625,108,0,0.0022487794,0.2084608,0.7847514,0.00226528,0.0022737607
9245791,108,0,0.0044518886,0.004446767,0.98221916,0.004449962,0.0044322247
9346876,108,0,0.002550541,0.13414744,0.7938292,0.066933036,0.002539745
9352931,108,0,0.0025029264,0.0025259322,0.64935946,0.3431101,0.002501562
9591694,108,0,0.0024202233,0.0024372097,0.9902482,0.0024807448,0.0024135374
10051610,108,0,0.0047440403,0.30824947,0.6775262,0.004749464,0.004730914
10087618,108,0,0.0063871806,0.2424682,0.73854774,0.0062998417,0.006296989
10100328,108,0,0.0027360735,0.0027449897,0.9890564,0.0027304038,0.002732099
10320929,108,0,0.004391838,0.80702764,0.17976843,0.004412481,0.00439967
10531012,108,0,0.002219896,0.017714303,0.9755901,0.0022331928,0.0022425617
10700148,108,0,0.0059863846,0.10527115,0.8767368,0.0059922533,0.006013393
10806067,108,0,0.0023476176,0.9905365,0.0024020679,0.002352883,0.0023609658
10946305,108,0,0.0033479575,0.1867737,0.6635671,0.0033494146,0.14296173
10969025,108,0,0.002967084,0.0030096953,0.9879836,0.0030124942,0.0030270577
11950889,108,0,0.001956447,0.0019754097,0.99214274,0.0019590184,0.0019664208
12297500,108,0,0.002197735,0.0021919273,0.9912364,0.0021845438,0.0021893962
12417022,108,0,0.0030715403,0.003076275,0.98768896,0.0030787895,0.0030844547
12496124,108,0,0.004145537,0.26967207,0.7178526,0.004178094,0.0041517415
12496132,108,0,0.0020984905,0.0021233985,0.99156666,0.0021170068,0.002094404
12511612,108,0,0.0017821747,0.0017831568,0.9928167,0.0018318958,0.0017861641
12516860,108,0,0.0040469696,0.004194539,0.98350877,0.0041823196,0.0040673716
8908519,109,1,0.0030001968,0.98795205,0.0030178453,0.0030261818,0.0030036943
8940425,109,1,0.002317293,0.18444659,0.0023561749,0.8085493,0.0023306175
9187765,109,1,0.0057582688,0.9768238,0.0057761674,0.0058859624,0.005755875
9666006,109,1,0.005180668,0.42414728,0.0051834714,0.56034356,0.0051450646
9676381,109,1,0.003180243,0.0032354249,0.0032454713,0.98719937,0.0031394958
9889212,109,1,0.0019843525,0.29405484,0.0019916724,0.69998527,0.0019838894
10029323,109,1,0.0019153233,0.99229854,0.0019256658,0.0019477162,0.0019127823
10084106,109,1,0.0025552916,0.9897827,0.002548717,0.0025701516,0.0025431225
10224010,109,1,0.0036035692,0.2475677,0.0036144913,0.74155664,0.003657608
10440566,109,1,0.0036818516,0.9853026,0.0036511463,0.0037034603,0.003660904
10457842,109,1,0.05589563,0.7925333,0.0031722113,0.14523555,0.003163283
10574095,109,1,0.004948247,0.0050282874,0.0049543562,0.9801383,0.0049309074
10599890,109,1,0.0026388168,0.98945445,0.0026200009,0.0026530188,0.0026337442
10620568,109,1,0.0026782055,0.72979957,0.002635417,0.26224497,0.0026417945
10652180,109,1,0.002876546,0.00293583,0.0028907515,0.98840487,0.002892073
10742226,109,1,0.0017765539,0.16167866,0.0017735697,0.8329985,0.0017727386
10769755,109,1,0.0027159697,0.38420355,0.002704614,0.6076302,0.0027456027
10966386,109,1,0.003622422,0.0036157093,0.25320077,0.73598826,0.0035728263
12144770,109,1,0.0031109676,0.44078606,0.0031101196,0.5498896,0.0031031996
12211279,109,1,0.0016495489,0.0016853189,0.0016513251,0.9933593,0.0016544807
12218656,109,1,0.0033920456,0.9865467,0.0033699553,0.003324706,0.0033665905
12374402,109,1,0.0032034654,0.13191202,0.0032411967,0.8584201,0.0032232434
12454166,109,1,0.033651408,0.002167342,0.002154616,0.95986086,0.0021657425
12495014,109,1,0.0036780182,0.31039265,0.0036541203,0.67856634,0.0037088357
1669719,111,2,0.9861893,0.0034553937,0.0034827762,0.0034440758,0.0034284485
