DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
8132718,108,0,0.001146335,0.0011465125,0.63232625,0.18976451,0.0011461304,0.0011471136,0.0011461751,0.0011466757,0.17103034
8673465,108,0,0.0012215396,0.0012215137,0.6858346,0.0012217852,0.0012213782,0.0012215605,0.0012214105,0.30561486,0.001221389
8707050,108,0,0.0019171885,0.0019169191,0.69147164,0.0019173938,0.23299672,0.0019189819,0.0019183888,0.06402518,0.0019176466
9175625,108,0,0.0013074989,0.0013074895,0.9895385,0.0013078179,0.0013074906,0.0013079507,0.0013074983,0.0013078434,0.001307944
9245791,108,0,0.00209714,0.0020985578,0.9832197,0.0020980127,0.0020973638,0.0020970246,0.0020973869,0.0020971473,0.002097706
9591694,108,0,0.0011826276,0.0011823586,0.68301123,0.001182778,0.00118264,0.30871013,0.0011828212,0.0011826964,0.001182712
10051610,108,0,0.0027810193,0.0027811034,0.45809153,0.06413677,0.25655422,0.0027803918,0.0027794633,0.0027788328,0.2073167
10087618,108,0,0.0034734134,0.0034735624,0.7965378,0.0034729945,0.0034732805,0.0034742814,0.0034729978,0.17914873,0.003472958
10100328,108,0,0.22497348,0.0016350787,0.7635815,0.0016353825,0.0016347959,0.0016346904,0.0016347681,0.0016350386,0.0016353757
10320929,108,0,0.002365215,0.0023648483,0.6576143,0.0023662942,0.002365346,0.002366238,0.0023649293,0.16302855,0.1651643
10531012,108,0,0.0012776941,0.0012775454,0.7026465,0.0012776149,0.0012773834,0.0012775882,0.0012774722,0.0012778196,0.28841034
10700148,108,0,0.0030876843,0.003087872,0.9752955,0.003088484,0.0030875134,0.003088578,0.003087469,0.003088132,0.0030888726
10725388,108,0,0.0012777784,0.0012780981,0.9897773,0.0012776672,0.0012778346,0.0012779005,0.001277821,0.0012776548,0.0012778977
10806067,108,0,0.0013554519,0.0013557269,0.98915523,0.0013557773,0.0013553713,0.0013554639,0.0013555541,0.0013559312,0.001355652
10946305,108,0,0.07343499,0.0018227607,0.2918709,0.550548,0.001823009,0.04711113,0.029743385,0.0018228014,0.0018229935
11950889,108,0,0.0011463873,0.0011463531,0.5723715,0.001146479,0.17571151,0.0011467814,0.0011461149,0.0011462567,0.24503863
12217649,108,0,0.0016840431,0.0016839807,0.986528,0.0016839375,0.0016837509,0.0016839327,0.0016837347,0.001683919,0.0016845015
12415118,108,0,0.0014440754,0.0014432996,0.9884511,0.0014436141,0.0014435786,0.0014436179,0.001443783,0.0014434505,0.0014434372
12461557,108,0,0.0031765008,0.0031762905,0.9745856,0.0031773373,0.0031755145,0.0031800366,0.0031758181,0.0031770216,0.0031759292
12496124,108,0,0.0023176188,0.0023174405,0.7534802,0.0023162547,0.0023159292,0.2303047,0.0023156551,0.0023159825,0.002316321
12496132,108,0,0.16540784,0.001157821,0.82648563,0.0011579118,0.0011578794,0.0011589094,0.0011580015,0.0011583226,0.0011577525
12511612,108,0,0.00097501697,0.00097519654,0.99219894,0.00097518216,0.0009750799,0.0009751175,0.00097520516,0.0009750737,0.0009751526
12516859,108,0,0.002271142,0.0022689453,0.7195362,0.0022705563,0.0022686908,0.15379469,0.002268476,0.0022692299,0.11305204
12516860,108,0,0.0022233785,0.0022233871,0.9822128,0.0022241944,0.0022227978,0.0022242628,0.0022228789,0.002223184,0.0022230973
8908519,109,1,0.028581075,0.0016588875,0.0016599318,0.0016598185,0.0016590131,0.90973365,0.0016589843,0.05172952,0.0016590657
8940425,109,1,0.0012926399,0.0012926401,0.0012926784,0.11588282,0.0012926495,0.8750689,0.0012925018,0.0012927813,0.0012924536
9149812,109,1,0.0013896035,0.0013896743,0.061882924,0.021067794,0.0013899666,0.8816802,0.028420318,0.0013899001,0.0013896885
9666006,109,1,0.0028497495,0.0028498287,0.002849888,0.0028500096,0.0028497027,0.97720194,0.0028494613,0.0028496638,0.0028496787
9676381,109,1,0.0016842756,0.12916413,0.0016850189,0.0016847062,0.0016847134,0.8590438,0.0016842571,0.0016850573,0.0016839376
9836710,109,1,0.0032701488,0.0032697339,0.0032688929,0.0032698428,0.0032696077,0.7477426,0.0032690666,0.003270921,0.22936915
9889212,109,1,0.0011116924,0.0011116894,0.0011118966,0.0011114868,0.0011113719,0.99110734,0.00111156,0.0011114385,0.0011115425
10029323,109,1,0.0010584828,0.0010587226,0.0010594033,0.0010585028,0.0010585529,0.991531,0.0010584068,0.0010584515,0.0010585132
10419204,109,1,0.0014250354,0.0014247712,0.0014249807,0.0014254634,0.001424897,0.9886,0.001424869,0.0014250206,0.0014249388
10440566,109,1,0.0019845655,0.001984791,0.0019854659,0.0019847471,0.001986039,0.7088908,0.2772141,0.0019846738,0.0019848302
10457842,109,1,0.0017366211,0.001736771,0.0017368759,0.0017369771,0.0017375244,0.98610485,0.0017369525,0.001736633,0.0017367338
10574095,109,1,0.002850876,0.0028498673,0.0028507793,0.002850467,0.002850025,0.9771963,0.002850122,0.0028513956,0.0028501786
10599890,109,1,0.0014623126,0.0014627804,0.0014626839,0.0014624038,0.0014633493,0.9882993,0.0014624589,0.0014624076,0.0014623344
10620568,109,1,0.0014628245,0.001462881,0.07403181,0.0014632222,0.07678803,0.66272664,0.1791381,0.0014631728,0.0014633791
10652180,109,1,0.001462861,0.0014632222,0.0014627192,0.0014631428,0.0014624209,0.85247904,0.0014628774,0.0014628789,0.13728078
10713370,109,1,0.001390368,0.1843461,0.0013897666,0.0013902865,0.0013901505,0.80592406,0.001389847,0.0013896091,0.0013897832
10742226,109,1,0.00097497145,0.0009749294,0.0009748314,0.0009749468,0.00097498536,0.9922005,0.00097505876,0.0009749146,0.0009748524
10769755,109,1,0.0015435744,0.0015450199,0.0015446047,0.0015439615,0.001543957,0.7292158,0.25997472,0.0015443297,0.0015441119
10877778,109,1,0.0014251982,0.071997695,0.0014253434,0.0014253196,0.0014249687,0.9180265,0.0014249326,0.0014248609,0.0014251465
10966386,109,1,0.0019499131,0.04799431,0.0019498534,0.0019505057,0.0019501774,0.938354,0.0019503677,0.0019506848,0.0019502214
10966441,109,1,0.0018218526,0.0018219313,0.0018220387,0.0018218416,0.0018218305,0.9854244,0.0018220507,0.001822069,0.0018218677
12211279,109,1,0.00090354634,0.0009042476,0.00090353756,0.0009038522,0.000903493,0.9927707,0.00090353657,0.0009036026,0.0009035185
12218656,109,1,0.0017648821,0.0017644819,0.17633188,0.0017643381,0.23538698,0.57769394,0.0017646764,0.0017642971,0.0017644608
12495014,109,1,0.0019174166,0.0019172563,0.0019176208,0.0019175337,0.0019174386,0.98466045,0.001917315,0.001917121,0.0019178542
1669719,111,2,0.023449752,0.9635832,0.0018524616,0.001852598,0.0018528664,0.0018520523,0.0018526599,0.0018523217,0.0018522032
7856030,111,2,0.0022226812,0.34605962,0.0022229163,0.0022239177,0.5760927,0.0022236377,0.06450862,0.002222819,0.002223019
7913756,111,2,0.0010589123,0.032154102,0.0010588762,0.15884882,0.802644,0.0010587402,0.0010586062,0.0010592843,0.0010585886
7927332,111,2,0.0012223616,0.001221762,0.0012214918,0.17439468,0.81705284,0.0012215633,0.001222144,0.0012215705,0.0012214918
7936296,111,2,0.0022237855,0.16353093,0.052806325,0.0022236141,0.6501056,0.0022237073,0.122438446,0.0022238465,0.0022237021
8137132,111,2,0.058583315,0.3954745,0.001029562,0.31591558,0.22487766,0.0010299592,0.001030019,0.0010297614,0.0010296166
8682199,111,2,0.0011114619,0.9911082,0.0011113605,0.0011115435,0.0011116974,0.00111134,0.0011115486,0.001111423,0.0011114762
8707291,111,2,0.0009582733,0.00095890387,0.00095840247,0.0009584294,0.9923326,0.0009582662,0.0009583951,0.0009583665,0.00095831905
8797471,111,2,0.0016347815,0.0016344589,0.0016343287,0.0016343958,0.9869241,0.0016342765,0.0016349738,0.001634462,0.001634246
