DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8
8042410,108,0,0.32769796,0.0018144012,0.51679516,0.0018149933,0.1464341,0.0018144136,0.0018154312,0.0018135577
8673465,108,0,0.0014237491,0.99004114,0.0014217907,0.0014219728,0.0014236537,0.0014236674,0.0014222555,0.0014216584
9175625,108,0,0.0016049016,0.23905367,0.0016057211,0.0016042003,0.6192327,0.13368848,0.001605679,0.0016045826
9245791,108,0,0.0029111537,0.9796281,0.0029092543,0.0029097681,0.0029098662,0.0029110985,0.0029118874,0.002908943
9346876,108,0,0.45770174,0.001508823,0.0015081633,0.0015083852,0.23641086,0.29834577,0.0015088856,0.0015074026
9352931,108,0,0.0015455224,0.23507936,0.0015452945,0.0015446241,0.0015461117,0.2210442,0.5361507,0.0015441108
10051610,108,0,0.0029825505,0.0029826863,0.97913396,0.0029797934,0.0029802914,0.0029821182,0.0029806737,0.002977968
10087618,108,0,0.0043128426,0.25127578,0.004315124,0.0043126377,0.72284436,0.0043138443,0.004313268,0.0043121516
10320929,108,0,0.00266492,0.39272508,0.0026653262,0.27291796,0.3210347,0.0026635528,0.002664338,0.0026640876
10700148,108,0,0.23594369,0.003478885,0.0034775133,0.12494686,0.32171354,0.30348575,0.0034790325,0.0034747384
10725388,108,0,0.0013752463,0.52396035,0.001375455,0.0013756449,0.0013777355,0.4677855,0.0013754534,0.0013746476
10806067,108,0,0.0015266608,0.0015266247,0.9893154,0.0015267064,0.0015267424,0.0015257393,0.001526423,0.0015257159
10946305,108,0,0.0020533365,0.98563135,0.0020513202,0.0020514429,0.0020526876,0.002055515,0.0020523153,0.0020519719
10969025,108,0,0.0018681582,0.74631786,0.001867467,0.0018677787,0.24247387,0.0018698677,0.0018673376,0.0018675564
11950889,108,0,0.0012516567,0.0012526833,0.8330637,0.0012513906,0.0012530078,0.15942423,0.001251902,0.0012513653
12217649,108,0,0.0020182107,0.17313768,0.002018933,0.00201769,0.21749206,0.59927917,0.002018707,0.0020175031
12297500,108,0,0.001360066,0.0013606271,0.0013599645,0.0013598381,0.0013596298,0.99048036,0.001360267,0.0013592986
12415118,108,0,0.0017162336,0.0017159808,0.14160389,0.0017131587,0.2794288,0.0017165756,0.5703908,0.0017145867
12417022,108,0,0.001956986,0.58264935,0.001956848,0.0019562393,0.001955149,0.0019564393,0.4056147,0.0019543276
12461557,108,0,0.29820204,0.3112748,0.0037909506,0.003791802,0.37155664,0.0037982347,0.0037955458,0.0037899013
12496124,108,0,0.0026086527,0.0026106618,0.0026084483,0.002605936,0.43159467,0.42091933,0.13444574,0.0026064846
12496132,108,0,0.0015250605,0.001525926,0.0015255719,0.0015249372,0.0015278276,0.98932064,0.0015250867,0.0015250512
12516859,108,0,0.0026093514,0.0026070438,0.002607395,0.0026077004,0.30677584,0.5267732,0.15341207,0.00260741
12516860,108,0,0.3917466,0.0025553273,0.0025531652,0.0025541466,0.27829352,0.31718722,0.0025561957,0.0025539298
8908519,109,1,0.0019539117,0.0019541134,0.0019539671,0.0019542095,0.9863206,0.0019543162,0.0019544233,0.001954443
8940425,109,1,0.0014897604,0.21303417,0.0014901287,0.0014896652,0.77802545,0.0014902903,0.0014898563,0.0014907721
9149812,109,1,0.0016039233,0.0016055808,0.00160407,0.0016035222,0.98877203,0.0016038751,0.0016035967,0.0016033155
9187765,109,1,0.0034748157,0.003475581,0.0034740528,0.0034746372,0.97567993,0.0034732241,0.0034742332,0.0034735466
9676381,109,1,0.0019251532,0.0019249684,0.0019250248,0.0019242258,0.986525,0.0019249475,0.0019248422,0.0019258471
9836710,109,1,0.3203561,0.003792601,0.003792526,0.003794737,0.6568876,0.0037921506,0.0037949528,0.0037894696
9889212,109,1,0.0012509291,0.0012506703,0.0012508637,0.0012514162,0.9912436,0.0012506882,0.0012512536,0.0012506378
10084106,109,1,0.0016675565,0.0016679948,0.0016694289,0.0016675937,0.9883236,0.0016671472,0.0016674236,0.0016691916
10224010,109,1,0.18053861,0.0025539692,0.002557758,0.00255228,0.7729786,0.03371005,0.002555852,0.0025528483
10419204,109,1,0.0015445226,0.2800083,0.0015452377,0.0015443201,0.7107231,0.0015447024,0.0015450342,0.001544825
10457842,109,1,0.0020852957,0.30614388,0.0020858215,0.0020850673,0.6813427,0.0020868492,0.0020860746,0.0020842634
