DocumentID,Label,LabelID,Topic_1,Topic_2
8042410,108,0,0.11989838,0.8801016
8132718,108,0,0.008193052,0.9918069
8707050,108,0,0.012858592,0.98714143
9175625,108,0,0.0075981915,0.9924018
9245791,108,0,0.01979018,0.9802098
9346876,108,0,0.0105824275,0.9894176
9352931,108,0,0.00775931,0.99224067
9591694,108,0,0.00682736,0.99317265
10051610,108,0,0.01609885,0.9839012
10087618,108,0,0.0172523,0.9827477
10100328,108,0,0.009930251,0.9900698
10320929,108,0,0.014338321,0.9856617
10531012,108,0,0.04229375,0.9577062
10700148,108,0,0.03532756,0.9646725
10806067,108,0,0.0079113105,0.99208874
10946305,108,0,0.027146963,0.97285306
10969025,108,0,0.010733132,0.9892669
11950889,108,0,0.02460702,0.975393
12297500,108,0,0.010362349,0.9896377
12417022,108,0,0.011358097,0.9886419
12496124,108,0,0.015567798,0.9844322
12496132,108,0,0.005722715,0.9942773
12511612,108,0,0.08165036,0.9183496
12516860,108,0,0.014379626,0.9856204
8908519,109,1,0.008905741,0.99109423
8940425,109,1,0.008367238,0.99163276
9187765,109,1,0.016428486,0.9835715
9666006,109,1,0.014998207,0.9850018
9676381,109,1,0.009115112,0.9908849
9889212,109,1,0.0068081245,0.9931919
10029323,109,1,0.0055751796,0.9944248
10084106,109,1,0.008044017,0.991956
10224010,109,1,0.013909945,0.98609
10440566,109,1,0.011523709,0.9884763
10457842,109,1,0.0092737265,0.99072623
10574095,109,1,0.014691725,0.98530835
10599890,109,1,0.008289316,0.99171066
10620568,109,1,0.017936435,0.9820636
10652180,109,1,0.013113,0.986887
10742226,109,1,0.0056508896,0.9943491
10769755,109,1,0.010805543,0.98919445
10966386,109,1,0.011892739,0.98810726
12144770,109,1,0.00908242,0.9909175
12211279,109,1,0.005376951,0.99462306
12218656,109,1,0.021129183,0.9788708
12374402,109,1,0.0115992585,0.98840076
12454166,109,1,0.30271035,0.69728965
12495014,109,1,0.11077749,0.8892225
1669719,111,2,0.9868397,0.013160247
7774117,111,2,0.99377567,0.0062242975
7856030,111,2,0.9816196,0.01838036
7913756,111,2,0.99426484,0.0057351324
7927332,111,2,0.99228424,0.007715764
7991124,111,2,0.98415667,0.015843302
8137126,111,2,0.9305831,0.069416866
8137132,111,2,0.6917704,0.30822966
8618678,111,2,0.9009238,0.099076204
8657630,111,2,0.83201516,0.1679848
8797471,111,2,0.9719408,0.02805914
8937783,111,2,0.9929967,0.007003328
9128415,111,2,0.99343354,0.0065664584
9239743,111,2,0.98996186,0.010038127
9629853,111,2,0.98761374,0.012386225
9681800,111,2,0.99110633,0.008893623
9789072,111,2,0.9924008,0.0075991787
9864731,111,2,0.99090016,0.00909983
10360778,111,2,0.9842842,0.015715787
10412591,111,2,0.9850709,0.014929132
10932276,111,2,0.9930711,0.006928934
12222676,111,2,0.9861308,0.013869244
12420099,111,2,0.98947823,0.010521763
12464332,111,2,0.98279834,0.01720162
7866403,114,3,0.28664383,0.71335614
7903889,114,3,0.41346547,0.5865345
8111410,114,3,0.17732933,0.82267064
8118461,114,3,0.10175581,0.8982442
8522331,114,3,0.087947235,0.91205275
8537055,114,3,0.027402153,0.97259784
8566954,114,3,0.027951712,0.9720483
8616874,114,3,0.29711947,0.7028805
9012588,114,3,0.16418473,0.8358153
9140167,114,3,0.31904393,0.6809561
9156280,114,3,0.45893204,0.541068
9220497,114,3,0.5027234,0.49727663
9276697,114,3,0.29759508,0.7024049
9536987,114,3,0.16083369,0.83916634
9585611,114,3,0.088326514,0.9116735
9869603,114,3,0.5300373,0.46996275
10339655,114,3,0.6913862,0.30861375
10502323,114,3,0.3815497,0.61845034
10526234,114,3,0.13107632,0.8689237
10851078,114,3,0.505917,0.49408296
10920985,114,3,0.4530417,0.54695827
10921028,114,3,0.35769045,0.6423095
10936679,114,3,0.27000844,0.7299915
11040191,114,3,0.73812574,0.26187423
7529048,116,4,0.9735246,0.026475416
