DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,Topic_38,Topic_39,Topic_40,Topic_41,Topic_42,Topic_43
8132718,108,0,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.00023975853,0.9899302,0.00023975853,0.00023975853,0.00023975853
8673465,108,0,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.9892664,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676,0.0002555676
8707050,108,0,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.0004010034,0.4244652,0.0004010034,0.0004010034,0.0004010034,0.55909365,0.0004010034,0.0004010034
9175625,108,0,0.00027360852,0.00027360852,0.9885091,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852,0.00027360852
9245791,108,0,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.98157126,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044,0.0004388044
9591694,108,0,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.9896088,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061,0.00024741061
10051610,108,0,0.0005814533,0.0005814533,0.3307984,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.6453627,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533,0.0005814533
10087618,108,0,0.0007268217,0.0007268217,0.19339481,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.0007268217,0.4877135,0.0007268217,0.0007268217,0.0007268217,0.2898188,0.0007268217,0.0007268217
10100328,108,0,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.0003420108,0.1393542,0.0003420108,0.8466235,0.0003420108,0.0003420108,0.0003420108,0.0003420108
10320929,108,0,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.0004948377,0.9792169,0.0004948377
