DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33
8042410,108,0,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.9863409,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434,0.00042684434
8132718,108,0,0.00032239777,0.14024356,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.00032239777,0.6043548,0.24572968,0.00032239777,0.00032239777,0.00032239777
8707050,108,0,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.81776154,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.16604118,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.00052248366,0.00052248366
9175625,108,0,0.00033672602,0.00033672602,0.00033672602,0.67486644,0.00033672602,0.00033672602,0.00033672602,0.00033672602,0.00033672602,0.00033672602,0.00033672602,0.00033672602,0.00033672602,0.00033672602,0.00033672602,0.00033672602,0.00033672602,0.00033672602,0.00033672602,0.00033672602,0.10397625,0.00033672602,0.00033672602,0.00033672602,0.00033672602,0.00033672602,0.00033672602,0.00033672602,0.00033672602,0.21105522,0.00033672602,0.00033672602,0.00033672602
9245791,108,0,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.7975674,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.18200868,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.0006588164,0.0006588164
9346876,108,0,0.0003788234,0.0003788234,0.0003788234,0.43814734,0.0003788234,0.24129678,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.0003788234,0.3091909,0.0003788234,0.0003788234,0.0003788234
9352931,108,0,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.13774481,0.0003695734,0.0003695734,0.0003695734,0.8507983,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734,0.0003695734
9591694,108,0,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.3668679,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.00036077868,0.62194777,0.00036077868,0.00036077868,0.00036077868
10051610,108,0,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.66246396,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.00070482143,0.31568623,0.00070482143,0.00070482143,0.00070482143
10087618,108,0,0.0009470834,0.0009470834,0.0009470834,0.0009470834,0.0009470834,0.0009470834,0.0009470834,0.0009470834,0.0009470834,0.0009470834,0.0009470834,0.22885868,0.0009470834,0.0009470834,0.0009470834,0.0009470834,0.0009470834,0.0009470834,0.0009470834,0.0009470834,0.23809734,0.0009470834,0.0009470834,0.0009470834,0.33876106,0.0009470834,0.0009470834,0.0009470834,0.0009470834,0.1668173,0.0009470834,0.0009470834,0.0009470834
10100328,108,0,0.00040952436,0.00040952436,0.00040952436,0.73494476,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.2523597,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436,0.00040952436
