DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26
8042410,108,0,0.0005828029,0.0005828029,0.0005828029,0.0005828029,0.0005828029,0.0005828029,0.0005828029,0.0005828029,0.0005828029,0.0005828029,0.64163095,0.0005828029,0.0005828029,0.0005828029,0.0005828029,0.0005828029,0.0005828029,0.0005828029,0.0005828029,0.34438214,0.0005828029,0.0005828029,0.0005828029,0.0005828029,0.0005828029,0.0005828029
8132718,108,0,0.00040919275,0.00040919275,0.00040919275,0.00040919275,0.00040919275,0.00040919275,0.9897706,0.00040919275,0.00040919275,0.00040919275,0.00040919275,0.00040919275,0.00040919275,0.00040919275,0.00040919275,0.00040919275,0.00040919275,0.00040919275,0.00040919275,0.00040919275,0.00040919275,0.00040919275,0.00040919275,0.00040919275,0.00040919275,0.00040919275
8673465,108,0,0.00043711957,0.00043711957,0.13305087,0.00043711957,0.00043711957,0.00043711957,0.00043711957,0.00043711957,0.00043711957,0.00043711957,0.00043711957,0.00043711957,0.33900574,0.00043711957,0.00043711957,0.22703134,0.00043711957,0.2912956,0.00043711957,0.00043711957,0.00043711957,0.00043711957,0.00043711957,0.00043711957,0.00043711957,0.00043711957
8707050,108,0,0.00066315685,0.00066315685,0.00066315685,0.00066315685,0.00066315685,0.00066315685,0.00066315685,0.00066315685,0.00066315685,0.00066315685,0.00066315685,0.00066315685,0.98342144,0.00066315685,0.00066315685,0.00066315685,0.00066315685,0.00066315685,0.00066315685,0.00066315685,0.00066315685,0.00066315685,0.00066315685,0.00066315685,0.00066315685,0.00066315685
9175625,108,0,0.00043708555,0.00043708555,0.00043708555,0.00043708555,0.00043708555,0.00043708555,0.00043708555,0.00043708555,0.00043708555,0.00043708555,0.00043708555,0.00043708555,0.00043708555,0.00043708555,0.00043708555,0.00043708555,0.00043708555,0.00043708555,0.00043708555,0.98907304,0.00043708555,0.00043708555,0.00043708555,0.00043708555,0.00043708555,0.00043708555
9245791,108,0,0.00087416614,0.00087416614,0.00087416614,0.00087416614,0.00087416614,0.00087416614,0.00087416614,0.00087416614,0.00087416614,0.00087416614,0.00087416614,0.00087416614,0.00087416614,0.00087416614,0.00087416614,0.97814626,0.00087416614,0.00087416614,0.00087416614,0.00087416614,0.00087416614,0.00087416614,0.00087416614,0.00087416614,0.00087416614,0.00087416614
9346876,108,0,0.00045252373,0.00045252373,0.9886874,0.00045252373,0.00045252373,0.00045252373,0.00045252373,0.00045252373,0.00045252373,0.00045252373,0.00045252373,0.00045252373,0.00045252373,0.00045252373,0.00045252373,0.00045252373,0.00045252373,0.00045252373,0.00045252373,0.00045252373,0.00045252373,0.00045252373,0.00045252373,0.00045252373,0.00045252373,0.00045252373
9352931,108,0,0.0004868808,0.0004868808,0.98782855,0.0004868808,0.0004868808,0.0004868808,0.0004868808,0.0004868808,0.0004868808,0.0004868808,0.0004868808,0.0004868808,0.0004868808,0.0004868808,0.0004868808,0.0004868808,0.0004868808,0.0004868808,0.0004868808,0.0004868808,0.0004868808,0.0004868808,0.0004868808,0.0004868808,0.0004868808,0.0004868808
9591694,108,0,0.00041358868,0.00041358868,0.98966074,0.00041358868,0.00041358868,0.00041358868,0.00041358868,0.00041358868,0.00041358868,0.00041358868,0.00041358868,0.00041358868,0.00041358868,0.00041358868,0.00041358868,0.00041358868,0.00041358868,0.00041358868,0.00041358868,0.00041358868,0.00041358868,0.00041358868,0.00041358868,0.00041358868,0.00041358868,0.00041358868
10100328,108,0,0.0005417411,0.0005417411,0.9864571,0.0005417411,0.0005417411,0.0005417411,0.0005417411,0.0005417411,0.0005417411,0.0005417411,0.0005417411,0.0005417411,0.0005417411,0.0005417411,0.0005417411,0.0005417411,0.0005417411,0.0005417411,0.0005417411,0.0005417411,0.0005417411,0.0005417411,0.0005417411,0.0005417411,0.0005417411,0.0005417411
