DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
8042410,108,0,0.0014089476,0.0014091125,0.14701542,0.1935779,0.0014088919,0.0014088387,0.12676942,0.4458302,0.0014091226,0.079762034
8132718,108,0,0.0011112178,0.0011113203,0.0011113496,0.9899985,0.0011112839,0.0011112781,0.0011112351,0.0011112763,0.0011112662,0.0011112635
8673465,108,0,0.0011236888,0.001123755,0.9898864,0.0011237308,0.0011237481,0.0011237145,0.0011238104,0.0011237974,0.001123713,0.0011237254
8707050,108,0,0.0017546484,0.0017548754,0.44074723,0.0017552203,0.0017552383,0.0017548207,0.001755197,0.001754823,0.0017547708,0.54521316
9346876,108,0,0.0012197641,0.0012198467,0.38014823,0.0012200297,0.0012199092,0.0012197571,0.0012197047,0.0012198645,0.043181665,0.56813115
9352931,108,0,0.0012347046,0.0012348775,0.9888866,0.0012349319,0.0012347604,0.0012347752,0.0012347046,0.0012348635,0.0012347834,0.0012348909
9591694,108,0,0.0011364701,0.0011365111,0.0011366428,0.9897712,0.0011365502,0.0011364956,0.0011364275,0.0011365319,0.0011366444,0.0011365255
10051610,108,0,0.0023258433,0.0023260368,0.9790656,0.0023261434,0.0023262568,0.0023259164,0.002325895,0.0023260803,0.0023259611,0.0023262145
10087618,108,0,0.0030313102,0.0030311146,0.7495156,0.0030317588,0.119943805,0.0030313246,0.003030928,0.0030320701,0.0030314224,0.109320596
10100328,108,0,0.0014494321,0.0014495566,0.98695445,0.0014495199,0.0014495443,0.0014494698,0.0014495148,0.0014495032,0.0014493956,0.00144962
10320929,108,0,0.0021278965,0.002127932,0.0021283338,0.9808479,0.0021281436,0.0021278986,0.0021278649,0.0021280104,0.002128055,0.0021280053
10531012,108,0,0.0011628915,0.0011633311,0.17676711,0.3180433,0.00116309,0.0011629577,0.0011629617,0.0011630269,0.0011629988,0.4970484
10725388,108,0,0.0010990694,0.0010991558,0.0010992893,0.0010991925,0.99010766,0.0010991174,0.0010990337,0.0010991021,0.0010991802,0.0010991795
10806067,108,0,0.0012503375,0.0012505306,0.46449816,0.15085657,0.0012504554,0.0012503837,0.0012504268,0.37589225,0.0012503768,0.0012504951
10946305,108,0,0.0016671033,0.0016672376,0.0016673537,0.0016670647,0.001667264,0.001667199,0.0016670775,0.001667192,0.0016671877,0.9849953
10969025,108,0,0.0015155954,0.27601087,0.3519741,0.17466989,0.0015159552,0.12629531,0.0015159481,0.0015158284,0.06347052,0.0015158941
11950889,108,0,0.00094356947,0.0009436793,0.2872691,0.0009437353,0.7051816,0.0009435923,0.0009437181,0.0009436001,0.00094368187,0.0009436663
12217649,108,0,0.0015874329,0.0015876675,0.0015877697,0.0015877521,0.9857119,0.0015874364,0.0015874441,0.0015875055,0.0015874689,0.001587658
12297500,108,0,0.0010871718,0.0010872269,0.001087412,0.0010872891,0.0010873374,0.0010871533,0.001087086,0.0010872037,0.0010871142,0.990215
12415118,108,0,0.0013699736,0.0013700551,0.0013702225,0.98766917,0.0013701422,0.0013700543,0.0013699604,0.0013701003,0.001370166,0.001370133
12417022,108,0,0.0016137284,0.0016136848,0.60498226,0.0016134933,0.0016137348,0.0016136502,0.0016136897,0.38210875,0.0016133994,0.0016136037
12461557,108,0,0.0029415775,0.0029417654,0.9735239,0.0029418126,0.002941635,0.002941554,0.002941663,0.0029419716,0.0029424515,0.002941815
12511612,108,0,0.0010418695,0.10964185,0.50402206,0.13577317,0.0010421702,0.0010421062,0.0010420189,0.24431041,0.0010420661,0.0010422235
12516859,108,0,0.0020411038,0.0020411885,0.4161769,0.56749356,0.00204117,0.0020411205,0.0020411736,0.0020412286,0.0020411862,0.0020413643
8908519,109,1,0.0014707973,0.0014709093,0.2204241,0.0014709078,0.0014710499,0.0014708885,0.0014707105,0.0014708289,0.767809,0.0014708104
8940425,109,1,0.001176641,0.0011769017,0.027536945,0.0011768903,0.02053205,0.020852245,0.0011767211,0.0011767332,0.924018,0.0011769052
9149812,109,1,0.001219692,0.0012197781,0.0012196961,0.0012200099,0.3443587,0.0012197051,0.0012198644,0.0012197352,0.6458832,0.0012196875
9187765,109,1,0.1294745,0.0028579554,0.05878675,0.0028578988,0.04639589,0.0028578204,0.002857738,0.0028580546,0.7481957,0.0028577643
9666006,109,1,0.0026319055,0.0026319658,0.002631977,0.032005023,0.09461228,0.0026318682,0.0026318126,0.0026319695,0.85495925,0.0026319313
9836710,109,1,0.0031256047,0.3573209,0.0031253758,0.0031253812,0.0031254361,0.0031255344,0.0031260387,0.0031259344,0.61767405,0.003125711
10029323,109,1,0.05133284,0.000971278,0.00097128097,0.00097124855,0.24804258,0.00097134156,0.0009711046,0.00097115105,0.69382554,0.0009715848
10084106,109,1,0.0013515997,0.0013516438,0.041249506,0.0013517932,0.24327192,0.024827491,0.0013515656,0.0013516936,0.68254113,0.0013516543
10224010,109,1,0.0019610499,0.0019614368,0.0019610983,0.0019613414,0.31267697,0.0019611344,0.0019615588,0.0019612683,0.67163295,0.0019612017
10419204,109,1,0.0012500954,0.0012501397,0.001250124,0.001250144,0.0012501263,0.001250142,0.0012501113,0.0012502122,0.9887487,0.0012502115
10440566,109,1,0.0020409662,0.002041078,0.0020410705,0.0020412155,0.0020411273,0.1525437,0.0020413077,0.0020411073,0.83112735,0.0020411147
10457842,109,1,0.15304591,0.0015629119,0.0015630219,0.0015628787,0.108952194,0.0015630287,0.0015627067,0.0015629717,0.72706133,0.001562994
10574095,109,1,0.0025645392,0.002564486,0.07511553,0.002564895,0.0025643455,0.002564547,0.0025644146,0.0025645874,0.90436804,0.0025646384
10599890,109,1,0.0013159236,0.0013159731,0.0013160248,0.0013160146,0.36673677,0.0013160966,0.0013159723,0.0013159674,0.6227352,0.0013160246
10713370,109,1,0.0012823463,0.0012825663,0.0012823101,0.0012823066,0.0012822689,0.0012823078,0.0012821875,0.0012823569,0.9884591,0.0012822576
10742226,109,1,0.0008697851,0.00086994737,0.0008697602,0.00086981617,0.0008701639,0.00086994626,0.0008697791,0.12426384,0.8687768,0.00087015814
10769755,109,1,0.0014086812,0.0014089964,0.17699203,0.00140896,0.0014092212,0.0014091753,0.07331418,0.07228909,0.6689509,0.0014088916
10877778,109,1,0.0012659499,0.0012661681,0.0012660108,0.0012660293,0.001266017,0.0012659762,0.0012659124,0.0012660285,0.9886058,0.0012660435
10966441,109,1,0.0016668395,0.0016668235,0.0016669296,0.0016669072,0.0016670936,0.0016668154,0.0016667814,0.0016668244,0.9849981,0.0016668413
12144770,109,1,0.0015155299,0.0015153674,0.0015156376,0.0015153884,0.0015153639,0.001515344,0.0015153256,0.0015153725,0.9863612,0.0015153757
12211279,109,1,0.0008198212,0.0008197601,0.00081975013,0.0008197553,0.0008197689,0.00081974047,0.0008197732,0.0008197638,0.9926219,0.0008199818
12218656,109,1,0.0018187359,0.0018184884,0.107412204,0.0018186185,0.2744733,0.15445057,0.0018184755,0.0018184292,0.45275268,0.0018185071
12374402,109,1,0.001470812,0.0014709777,0.07816611,0.0014711563,0.0014708542,0.0014708624,0.0014710579,0.0014708333,0.9100665,0.0014708623
12454166,109,1,0.001136716,0.0011366508,0.0011366173,0.0011365617,0.001136587,0.001136891,0.001136659,0.0011366685,0.98977005,0.0011365917
1669719,111,2,0.9847442,0.0016950618,0.0016952758,0.0016950452,0.0016951631,0.0016950916,0.0016949874,0.0016951117,0.0016949901,0.0016950708
7774117,111,2,0.4807453,0.000990317,0.0009903867,0.0009903251,0.000990384,0.095956355,0.047342382,0.0009903429,0.37001377,0.0009904689
7913756,111,2,0.5019001,0.0009525703,0.0009526508,0.0009525879,0.0009526447,0.00095274515,0.06301386,0.00095259416,0.42841753,0.00095267105
7936296,111,2,0.0019615053,0.074367434,0.059677027,0.0019614578,0.0019611446,0.852226,0.0019613656,0.0019614152,0.0019613416,0.0019612638
7991124,111,2,0.22299564,0.0014709249,0.0014709902,0.0014708347,0.043634173,0.7230735,0.0014709136,0.0014710971,0.001471163,0.001470892
8137126,111,2,0.6389967,0.0016396868,0.3478846,0.0016398511,0.0016398564,0.0016402262,0.0016397352,0.0016398629,0.0016399178,0.0016396669
8137132,111,2,0.42298883,0.00090138934,0.09479466,0.0009013604,0.0009012416,0.1642892,0.00090124947,0.0009013242,0.31251943,0.000901349
8618678,111,2,0.17065237,0.0025009466,0.002500441,0.002500304,0.13842864,0.6734134,0.002501599,0.002501098,0.0025003806,0.0025007185
8657630,111,2,0.46171534,0.0027783192,0.0027782982,0.0027783283,0.24862112,0.27021387,0.0027783453,0.002778583,0.0027793965,0.0027782768
8682199,111,2,0.4839272,0.0010104971,0.05206699,0.0010105076,0.07746947,0.001010586,0.0010103915,0.0010105161,0.0010104545,0.38047343
8707291,111,2,0.22771066,0.00086227147,0.0008623095,0.00086236384,0.00086221367,0.765391,0.0008623195,0.00086231,0.0008622721,0.0008622802
8797471,111,2,0.0014935312,0.001492835,0.021699136,0.0014932094,0.00149304,0.64445335,0.0014930307,0.3233959,0.0014930387,0.0014929073
8797472,111,2,0.08952537,0.0018186937,0.0018185276,0.0018184829,0.0018185225,0.71045965,0.0018189896,0.1872847,0.0018186026,0.0018184994
8841969,111,2,0.5685318,0.0014088835,0.0014091699,0.0014090817,0.0014087536,0.3486784,0.072926596,0.0014091361,0.001409162,0.0014089696
9128415,111,2,0.3830048,0.0008549548,0.0008550289,0.0008548942,0.124938436,0.48607197,0.000854943,0.00085499475,0.0008550622,0.0008549473
9239743,111,2,0.98714066,0.0014288991,0.0014287366,0.0014287166,0.0014287438,0.0014288878,0.0014286678,0.0014287976,0.0014288237,0.0014289255
9263413,111,2,0.45783618,0.00454686,0.004546549,0.004546216,0.004546958,0.29991373,0.0045474917,0.2104224,0.0045464886,0.004547222
9629853,111,2,0.0903422,0.0022225264,0.0022225399,0.0022224241,0.002222589,0.83645934,0.0022227534,0.002222703,0.05764012,0.00222283
9681800,111,2,0.28923437,0.001333781,0.0013336141,0.0013335706,0.0013335758,0.7000957,0.00133411,0.001333796,0.0013337237,0.0013337422
9789072,111,2,0.14668001,0.0011238541,0.0011238735,0.10466537,0.0011238079,0.74078715,0.0011239352,0.0011240104,0.0011239656,0.0011240762
9864731,111,2,0.16049697,0.001370086,0.001370014,0.0013700231,0.0013700649,0.8285424,0.0013701733,0.0013701705,0.001370096,0.0013701427
10360778,111,2,0.97499514,0.0027780186,0.0027781224,0.002778018,0.0027784107,0.0027793697,0.0027781585,0.002778207,0.0027781026,0.0027782219
10412591,111,2,0.40761736,0.0012505659,0.16025801,0.0012505999,0.0012504816,0.42337146,0.0012502767,0.0012505397,0.001250369,0.0012503546
10932276,111,2,0.27999416,0.0008774489,0.0008774138,0.0008773833,0.23028192,0.48358175,0.0008775024,0.0008775,0.00087740965,0.0008775301
7866403,114,3,0.0013701444,0.0013701392,0.0013700946,0.001369997,0.0013700867,0.27873158,0.0013703264,0.7103071,0.0013703832,0.0013701477
7903889,114,3,0.0019615472,0.0019613265,0.0019611719,0.001961217,0.0019611164,0.14474902,0.0019612166,0.8395608,0.0019612575,0.001961302
8111410,114,3,0.0012197652,0.0012198708,0.0012196987,0.0012197251,0.11771847,0.0012199276,0.0012198153,0.87252295,0.0012199739,0.0012198089
