DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3
8042410,108,0,0.4897375,0.46541017,0.044852298
8673465,108,0,0.025823103,0.9701374,0.0040394575
9175625,108,0,0.13526264,0.761665,0.10307236
9245791,108,0,0.009266285,0.9824192,0.00831452
9346876,108,0,0.23885939,0.7568089,0.004331746
9352931,108,0,0.004935338,0.9905922,0.0044724904
10051610,108,0,0.13432464,0.76100135,0.104673944
10087618,108,0,0.011891093,0.97532624,0.0127826445
10320929,108,0,0.21582308,0.7755822,0.008594723
10700148,108,0,0.24049014,0.74906164,0.010448176
10725388,108,0,0.0046501555,0.9911039,0.0042459345
10806067,108,0,0.10246104,0.32919273,0.56834626
10946305,108,0,0.54540545,0.44807693,0.0065176394
10969025,108,0,0.00559108,0.9890208,0.0053880275
11950889,108,0,0.2766167,0.46288455,0.26049873
12217649,108,0,0.0066592507,0.98763597,0.0057047755
12297500,108,0,0.0047022225,0.99114174,0.004156102
12415118,108,0,0.13808961,0.82916313,0.032747168
12417022,108,0,0.22674973,0.5204396,0.2528107
12461557,108,0,0.036081176,0.95340437,0.010514489
12496124,108,0,0.08353489,0.90831965,0.008145419
12496132,108,0,0.004252325,0.9915353,0.0042123613
12516859,108,0,0.00759367,0.98506767,0.007338688
12516860,108,0,0.16389236,0.8289029,0.0072047804
8908519,109,1,0.0055542206,0.98896515,0.005480625
8940425,109,1,0.004354225,0.99136615,0.0042795925
9149812,109,1,0.004852642,0.9904854,0.0046618995
9187765,109,1,0.009753731,0.9804662,0.009780108
9676381,109,1,0.005409689,0.98842704,0.006163284
9836710,109,1,0.24501328,0.74411887,0.010867831
9889212,109,1,0.0036431733,0.9928448,0.0035120293
10084106,109,1,0.0046323617,0.97587293,0.01949478
10224010,109,1,0.0077462043,0.98519075,0.007063071
10419204,109,1,0.0043616593,0.9913653,0.0042731157
10457842,109,1,0.0058455337,0.9880698,0.0060847295
10574095,109,1,0.0087476885,0.98234254,0.00890972
10620568,109,1,0.004866666,0.96402967,0.031103713
10652180,109,1,0.005348376,0.98980075,0.0048508462
