DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,Topic_38,Topic_39
8042410,108,0,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.18216106,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.8040882,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813,0.00037163813
8673465,108,0,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.98892707,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816,0.0002913816
9175625,108,0,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.06500459,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.92283154,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484,0.0003287484
9245791,108,0,0.00059635105,0.5384259,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.43950835,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105,0.00059635105
9346876,108,0,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.9882598,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086,0.00030894086
9352931,108,0,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.595484,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.39280212,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771,0.0003165771
10051610,108,0,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.0006105151,0.97680026,0.0006105151,0.0006105151,0.0006105151,0.0006105151
10087618,108,0,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.9664009,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896,0.0008841896
10320929,108,0,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.9792673,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762,0.0005455762
10700148,108,0,0.0007123036,0.0007123036,0.0007123036,0.19404216,0.0007123036,0.0007123036,0.0007123036,0.0007123036,0.0007123036,0.0007123036,0.0007123036,0.0007123036,0.13943087,0.0007123036,0.0007123036,0.0007123036,0.0007123036,0.0007123036,0.0007123036,0.46058533,0.0007123036,0.0007123036,0.0007123036,0.0007123036,0.0007123036,0.0007123036,0.0007123036,0.0007123036,0.0007123036,0.0007123036,0.0007123036,0.0007123036,0.18101092,0.0007123036,0.0007123036,0.0007123036,0.0007123036,0.0007123036,0.0007123036
