DocumentID,Label,LabelID,Topic_1,Topic_2
8042410,108,0,0.6139608,0.38603917
8132718,108,0,0.014009623,0.98599035
8673465,108,0,0.007626885,0.9923731
8707050,108,0,0.011832113,0.9881679
9175625,108,0,0.011737028,0.98826295
9245791,108,0,0.081865065,0.9181349
9346876,108,0,0.24969876,0.75030124
9352931,108,0,0.010186754,0.98981327
9591694,108,0,0.021435704,0.9785643
10100328,108,0,0.0122850975,0.98771495
10531012,108,0,0.2818484,0.7181516
10700148,108,0,0.28539637,0.7146036
10725388,108,0,0.05591004,0.94408995
10969025,108,0,0.3949725,0.6050275
12217649,108,0,0.0120590655,0.98794097
12297500,108,0,0.00807324,0.9919267
12415118,108,0,0.08800491,0.9119951
12417022,108,0,0.034995668,0.9650043
12461557,108,0,0.2555954,0.7444046
12496124,108,0,0.02640585,0.9735941
12496132,108,0,0.007854089,0.9921459
12511612,108,0,0.050528366,0.94947165
12516859,108,0,0.028920788,0.9710792
12516860,108,0,0.20677683,0.79322314
9149812,109,1,0.8806191,0.119380906
9187765,109,1,0.91095537,0.08904466
9666006,109,1,0.98434466,0.015655331
9676381,109,1,0.9694173,0.03058279
9836710,109,1,0.9813447,0.018655274
9889212,109,1,0.99312365,0.006876298
10029323,109,1,0.9867742,0.013225759
10084106,109,1,0.7655976,0.23440245
10224010,109,1,0.9880238,0.011976196
10419204,109,1,0.99190843,0.008091518
10440566,109,1,0.9064807,0.0935193
10599890,109,1,0.98539567,0.014604295
10620568,109,1,0.7278374,0.27216268
10652180,109,1,0.99213576,0.007864236
10713370,109,1,0.9699279,0.030072127
10877778,109,1,0.99239147,0.0076085473
10966386,109,1,0.9867297,0.013270313
10966441,109,1,0.9884392,0.011560785
12144770,109,1,0.9904846,0.009515371
12211279,109,1,0.9952346,0.0047653536
12218656,109,1,0.6068106,0.39318934
12374402,109,1,0.9899564,0.010043615
12454166,109,1,0.96780413,0.032195855
12495014,109,1,0.898402,0.101598024
7774117,111,2,0.0061008506,0.99389917
7856030,111,2,0.014086397,0.9859136
7927332,111,2,0.007030581,0.9929694
7936296,111,2,0.015788883,0.98421115
7991124,111,2,0.008730257,0.99126977
8137126,111,2,0.01023395,0.98976606
8137132,111,2,0.03790873,0.96209127
8618678,111,2,0.014618803,0.9853812
8657630,111,2,0.022119042,0.97788095
8682199,111,2,0.0076636313,0.99233633
8707291,111,2,0.005519952,0.9944801
8797471,111,2,0.008734211,0.9912658
8797472,111,2,0.0126283225,0.9873717
8841969,111,2,0.009072093,0.9909279
8937783,111,2,0.0083651785,0.99163485
9263413,111,2,0.024856597,0.97514343
9629853,111,2,0.012794677,0.9872054
9681800,111,2,0.011732933,0.988267
9864731,111,2,0.008433538,0.9915665
10360778,111,2,0.016061738,0.9839382
10932276,111,2,0.0057182205,0.9942818
12222676,111,2,0.009675755,0.9903242
12420099,111,2,0.007807888,0.99219215
12464332,111,2,0.011813249,0.9881868
8522331,114,3,0.6614971,0.33850288
8537055,114,3,0.9586315,0.04136846
8566954,114,3,0.62995553,0.3700445
8616874,114,3,0.8709252,0.12907475
9012588,114,3,0.9359603,0.064039685
9156280,114,3,0.8461261,0.15387395
9196022,114,3,0.69732547,0.30267453
9220497,114,3,0.9933206,0.006679405
