DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13
8042410,108,0,0.0010835537,0.0010835606,0.0010835592,0.9869969,0.0010835677,0.0010835571,0.0010835655,0.0010835683,0.0010835544,0.001083562,0.0010835539,0.0010835645,0.0010835652
8132718,108,0,0.0008184337,0.7866234,0.00081844116,0.0008184438,0.0008184393,0.0008184386,0.18160698,0.0008184371,0.0008184508,0.00081843865,0.023584828,0.0008184404,0.0008184394
8707050,108,0,0.0013264832,0.21497884,0.0013264853,0.0013264831,0.0013264865,0.0013265006,0.0013264967,0.0013264783,0.49550328,0.0013264915,0.0013264809,0.0013264868,0.27625299
9175625,108,0,0.0008548112,0.00085483014,0.000854819,0.71440315,0.00085481897,0.0008548208,0.046350144,0.00085481367,0.16675164,0.0008548233,0.0008548178,0.06480154,0.00085481524
9245791,108,0,0.001672397,0.0016724045,0.0016723908,0.001672394,0.0016723903,0.0016723941,0.97993124,0.0016723983,0.0016724347,0.001672395,0.0016723956,0.0016723879,0.0016723891
9346876,108,0,0.00096160977,0.0009616124,0.00096161646,0.00096161215,0.0009616098,0.9884603,0.0009616121,0.0009616079,0.0009616227,0.0009616115,0.00096161023,0.0009616202,0.0009616103
9352931,108,0,0.0009381843,0.0009381893,0.0009381924,0.00093818933,0.8250453,0.09403489,0.00093818834,0.00093818706,0.071537785,0.0009381885,0.00093817996,0.00093818863,0.0009381841
9591694,108,0,0.00091587123,0.0009158774,0.00091587176,0.00091587025,0.00091586716,0.19898982,0.00091587385,0.00091586437,0.30603662,0.0009158796,0.000915869,0.13385467,0.3528761
10051610,108,0,0.001789221,0.0017892369,0.0017892256,0.70070934,0.0017892114,0.12429766,0.0017892326,0.0017892376,0.1571009,0.001789238,0.001789207,0.001789221,0.001789226
10087618,108,0,0.0024041687,0.0024042116,0.0024041755,0.0024041727,0.0024041627,0.002404167,0.1022351,0.0024041734,0.30635637,0.21763998,0.0024041655,0.05974279,0.29479232
10100328,108,0,0.0010396297,0.0010396414,0.001039636,0.345296,0.0010396322,0.32886615,0.23918033,0.0010396261,0.07730052,0.0010396432,0.0010396383,0.0010396307,0.0010396265
10320929,108,0,0.0016723422,0.97993195,0.0016723429,0.0016723407,0.0016723435,0.0016723559,0.0016723532,0.0016723454,0.0016723527,0.0016723467,0.0016723435,0.001672353,0.0016723425
10531012,108,0,0.0008454189,0.00084543356,0.00084542757,0.0008454223,0.0008454203,0.00084542803,0.000845432,0.0008454216,0.3827864,0.60791385,0.0008454189,0.00084542495,0.00084541715
10700148,108,0,0.0022625271,0.0022625367,0.0022625339,0.0022625297,0.002262543,0.0022625297,0.0022625416,0.00226253,0.97284967,0.0022625292,0.0022625295,0.0022625471,0.0022625308
10806067,108,0,0.0008945101,0.9892653,0.0008945135,0.0008945147,0.0008945124,0.0008945149,0.00089451694,0.00089451246,0.00089451444,0.00089451374,0.00089451106,0.00089451316,0.00089451205
10946305,108,0,0.001261117,0.0012611191,0.0012611201,0.0012611193,0.0012611225,0.0012611259,0.0012611217,0.9848666,0.0012611179,0.0012611275,0.0012611193,0.0012611194,0.0012611205
10969025,108,0,0.0011313299,0.001131339,0.0011313353,0.0011313368,0.0011313376,0.0011313335,0.98642373,0.0011313615,0.0011313366,0.0011313376,0.0011313314,0.0011313377,0.0011313319
11950889,108,0,0.00073971186,0.000739716,0.000739714,0.00073971483,0.00073971675,0.000739712,0.99112326,0.0007397118,0.0007397164,0.0007397154,0.0007397145,0.0007397171,0.0007397205
12297500,108,0,0.0008271855,0.00082718406,0.00082718494,0.0008271841,0.0008271846,0.9900735,0.000827185,0.00082718855,0.0008271839,0.0008271864,0.00082718366,0.000827179,0.00082718296
12417022,108,0,0.0011656296,0.0011656402,0.001165637,0.0011656352,0.00116563,0.0011656291,0.3186842,0.0011656287,0.043427452,0.6262319,0.001165627,0.0011656224,0.0011656291
12496124,108,0,0.0015699256,0.0015699316,0.0015699255,0.001569924,0.0015699232,0.0015699217,0.001569924,0.001569926,0.98116094,0.001569922,0.001569924,0.0015699351,0.0015699251
12496132,108,0,0.0008013692,0.00080137106,0.0008013729,0.0008013707,0.0008013701,0.00080137723,0.00080137525,0.00080136675,0.36829355,0.5323047,0.0008013717,0.09138794,0.0008013729
12511612,108,0,0.00067484827,0.14207074,0.07523113,0.00067485176,0.0006748484,0.13358234,0.6135327,0.00067484716,0.0006748521,0.00067485054,0.00067484763,0.030184127,0.00067485496
12516860,108,0,0.0015386739,0.0015386955,0.001538685,0.0015386849,0.0015386876,0.33634534,0.0015386895,0.001538698,0.124853894,0.52341384,0.0015386824,0.0015387214,0.0015386895
8908519,109,1,0.0011482027,0.35812405,0.0011482124,0.0011482058,0.0011482153,0.0011482168,0.0011482051,0.0011482051,0.0011482126,0.0011482113,0.0011482083,0.6292457,0.0011482107
8940425,109,1,0.000884223,0.0008842217,0.000884222,0.00088422414,0.00088422786,0.0008842227,0.00088422257,0.0008842229,0.00088422233,0.00088422257,0.0008842213,0.9893893,0.0008842188
9187765,109,1,0.0021979422,0.0021979527,0.002197938,0.0021979425,0.0021979387,0.37213063,0.0021979439,0.0021979385,0.0021979478,0.002197945,0.0021979515,0.603692,0.0021979613
9666006,109,1,0.0019726262,0.0019726322,0.0019726173,0.0019726255,0.0019726176,0.2647212,0.0019726227,0.0019726253,0.0019726173,0.0019726232,0.00197262,0.71357995,0.001972643
9676381,109,1,0.00120208,0.0012020656,0.0012020648,0.0012020614,0.0012020593,0.001202076,0.0012020583,0.0012020663,0.0012020613,0.0012020736,0.0012020702,0.5309191,0.4558581
9889212,109,1,0.0007543195,0.0007543069,0.00075430766,0.0007543097,0.00075430755,0.08523959,0.0007543111,0.0007543235,0.00075430784,0.1761864,0.00075430254,0.7310309,0.00075431244
10029323,109,1,0.0007326392,0.00073264446,0.0007326413,0.0007326411,0.0007326397,0.00073264155,0.00073264126,0.000732639,0.000732648,0.0007326408,0.00073264114,0.99120826,0.0007326406
10084106,109,1,0.0009738367,0.000973846,0.00097384414,0.00097383675,0.0009738334,0.00097384833,0.00097383617,0.0009738381,0.00097383966,0.0009738399,0.0009738414,0.72340834,0.2658794
10224010,109,1,0.0013737518,0.0013737605,0.001373749,0.0013737566,0.0013737667,0.0013737527,0.0013737538,0.0013737646,0.53695863,0.0013737523,0.0013737469,0.4479301,0.0013737521
10440566,109,1,0.0013987629,0.40136993,0.0013987448,0.0013987523,0.0013987502,0.0013987565,0.0013987466,0.0013987564,0.0013987457,0.001398749,0.0013987778,0.5832438,0.0013987733
10457842,109,1,0.0012020457,0.00120204,0.0012020489,0.0012020383,0.0012020383,0.072424784,0.0012020433,0.0012020465,0.0012020593,0.0012020392,0.0012020394,0.7573846,0.15817013
10574095,109,1,0.0018764964,0.0018765299,0.0018765118,0.0018765231,0.0018765031,0.0018765059,0.0018764933,0.0018764901,0.0018765059,0.21503721,0.0018764962,0.6427335,0.12346423
10599890,109,1,0.0009992102,0.0009992487,0.0009992064,0.0009992046,0.0009992068,0.13497627,0.0009992085,0.0009992245,0.0009992154,0.11620149,0.03490521,0.70492405,0.0009992062
10620568,109,1,0.0009991039,0.0009991031,0.0009990988,0.0009990981,0.0009991004,0.43096796,0.000999096,0.0009990993,0.0009991039,0.0009991053,0.0009991111,0.4574203,0.1016208
10652180,109,1,0.001099042,0.0010990481,0.0010990446,0.0010990481,0.0010990519,0.14308706,0.0010990626,0.0010990502,0.0010990433,0.1779042,0.0010990554,0.6680182,0.0010990503
10742226,109,1,0.00067481183,0.0006748084,0.00067480735,0.0006748108,0.00067481137,0.0006748144,0.0006748108,0.2972591,0.00067480875,0.00067480863,0.0006748095,0.6953179,0.00067480997
10769755,109,1,0.0010257425,0.0010257559,0.0010257392,0.001025738,0.0010257435,0.37263578,0.0010257454,0.0010257534,0.0010257453,0.0010257472,0.001025748,0.61608106,0.0010257378
10966386,109,1,0.0013496367,0.0013496238,0.001349624,0.001349627,0.0013496293,0.5226448,0.0013496313,0.0013496368,0.0013496256,0.0013496318,0.0013496267,0.46250933,0.0013496263
12144770,109,1,0.001183487,0.001183504,0.0011834863,0.0011834868,0.0011834886,0.0011834855,0.001183492,0.0011834903,0.0011834843,0.0011834938,0.0011834876,0.98579806,0.0011834892
