DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24
8042410,108,0,0.0006039036,0.0006039036,0.0006039036,0.0006039036,0.0006039036,0.0006039036,0.0006039036,0.0006039036,0.0006039036,0.0006039036,0.0006039036,0.0006039036,0.0006039036,0.0006039036,0.0006039036,0.0006039036,0.0006039036,0.0006039036,0.0006039036,0.9168248,0.0006039036,0.06988945,0.0006039036,0.0006039036
8673465,108,0,0.00047351056,0.98910993,0.00047351056,0.00047351056,0.00047351056,0.00047351056,0.00047351056,0.00047351056,0.00047351056,0.00047351056,0.00047351056,0.00047351056,0.00047351056,0.00047351056,0.00047351056,0.00047351056,0.00047351056,0.00047351056,0.00047351056,0.00047351056,0.00047351056,0.00047351056,0.00047351056,0.00047351056
9175625,108,0,0.0005342069,0.0005342069,0.0005342069,0.0005342069,0.9877139,0.0005342069,0.0005342069,0.0005342069,0.0005342069,0.0005342069,0.0005342069,0.0005342069,0.0005342069,0.0005342069,0.0005342069,0.0005342069,0.0005342069,0.0005342069,0.0005342069,0.0005342069,0.0005342069,0.0005342069,0.0005342069,0.0005342069
9245791,108,0,0.0009690623,0.9777109,0.0009690623,0.0009690623,0.0009690623,0.0009690623,0.0009690623,0.0009690623,0.0009690623,0.0009690623,0.0009690623,0.0009690623,0.0009690623,0.0009690623,0.0009690623,0.0009690623,0.0009690623,0.0009690623,0.0009690623,0.0009690623,0.0009690623,0.0009690623,0.0009690623,0.0009690623
9346876,108,0,0.0005020322,0.0005020322,0.0005020322,0.0005020322,0.0005020322,0.0005020322,0.0005020322,0.0005020322,0.0005020322,0.0005020322,0.9884537,0.0005020322,0.0005020322,0.0005020322,0.0005020322,0.0005020322,0.0005020322,0.0005020322,0.0005020322,0.0005020322,0.0005020322,0.0005020322,0.0005020322,0.0005020322
9352931,108,0,0.0005144467,0.0005144467,0.0005144467,0.0005144467,0.0005144467,0.0005144467,0.64469546,0.0005144467,0.0005144467,0.0005144467,0.0005144467,0.0005144467,0.0005144467,0.0005144467,0.0005144467,0.0005144467,0.0005144467,0.0005144467,0.0005144467,0.34398666,0.0005144467,0.0005144467,0.0005144467,0.0005144467
10051610,108,0,0.000992191,0.000992191,0.4843681,0.000992191,0.000992191,0.000992191,0.000992191,0.000992191,0.49380332,0.000992191,0.000992191,0.000992191,0.000992191,0.000992191,0.000992191,0.000992191,0.000992191,0.000992191,0.000992191,0.000992191,0.000992191,0.000992191,0.000992191,0.000992191
10087618,108,0,0.0014368525,0.0014368525,0.0014368525,0.0014368525,0.0014368525,0.0014368525,0.0014368525,0.0014368525,0.0014368525,0.0014368525,0.0014368525,0.0014368525,0.0014368525,0.0014368525,0.0014368525,0.0014368525,0.0014368525,0.9669525,0.0014368525,0.0014368525,0.0014368525,0.0014368525,0.0014368525,0.0014368525
10320929,108,0,0.00088656484,0.00088656484,0.00088656484,0.00088656484,0.00088656484,0.00088656484,0.00088656484,0.00088656484,0.00088656484,0.00088656484,0.97960865,0.00088656484,0.00088656484,0.00088656484,0.00088656484,0.00088656484,0.00088656484,0.00088656484,0.00088656484,0.00088656484,0.00088656484,0.00088656484,0.00088656484,0.00088656484
10700148,108,0,0.0011574712,0.0011574712,0.0011574712,0.0011574712,0.0011574712,0.0011574712,0.0011574712,0.0011574712,0.0011574712,0.0011574712,0.0011574712,0.0011574712,0.90258634,0.0011574712,0.0011574712,0.0011574712,0.0011574712,0.0011574712,0.0011574712,0.071948916,0.0011574712,0.0011574712,0.0011574712,0.0011574712
