DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4
8042410,108,0,0.43311426,0.2956062,0.23563434,0.035645247
8673465,108,0,0.0031110975,0.9910607,0.0029076848,0.0029205277
9175625,108,0,0.0035000062,0.8888894,0.104300976,0.0033096084
9245791,108,0,0.0063697863,0.98148406,0.0059948587,0.0061512003
9346876,108,0,0.29773685,0.695989,0.0031121254,0.003162005
9352931,108,0,0.10135732,0.8267997,0.0032220527,0.06862093
10051610,108,0,0.14320295,0.54796827,0.30238676,0.0064420016
10087618,108,0,0.008740579,0.9734871,0.008950068,0.008822222
10320929,108,0,0.0058584455,0.91720724,0.0714729,0.0054613883
10700148,108,0,0.24913998,0.736395,0.00729434,0.0071706246
10725388,108,0,0.0029326621,0.99123925,0.002897924,0.0029301262
10806067,108,0,0.0033445766,0.52569956,0.46773183,0.0032239116
10946305,108,0,0.45912686,0.5322322,0.004332864,0.004307977
10969025,108,0,0.0038881465,0.988484,0.0038079715,0.0038199292
11950889,108,0,0.17408769,0.57747155,0.24570864,0.0027321016
12217649,108,0,0.00425565,0.9875228,0.004114564,0.0041070194
12297500,108,0,0.0029088985,0.99140954,0.00284819,0.0028333184
12415118,108,0,0.12556933,0.8143686,0.056483645,0.003578422
12417022,108,0,0.28850824,0.6572396,0.0501093,0.004142863
12461557,108,0,0.0087082535,0.97545785,0.0077364156,0.00809747
12496124,108,0,0.046704654,0.94245726,0.0054987906,0.005339299
12496132,108,0,0.003088982,0.9907232,0.0030858228,0.0031019875
12516859,108,0,0.0053813513,0.9838883,0.005322027,0.0054083113
12516860,108,0,0.19846423,0.790976,0.0052174167,0.005342344
8908519,109,1,0.0039778957,0.9880969,0.003964689,0.003960519
8940425,109,1,0.0030737827,0.9908038,0.0030749578,0.003047477
9149812,109,1,0.0033373756,0.9901045,0.0033041746,0.0032539973
9187765,109,1,0.0070672645,0.97872883,0.0071106786,0.0070931907
9676381,109,1,0.0039409143,0.9879552,0.0041434057,0.003960372
9836710,109,1,0.27636844,0.70793897,0.007810483,0.0078821285
9889212,109,1,0.0026180744,0.9921932,0.0025708776,0.0026178034
10084106,109,1,0.003385753,0.9623997,0.030832255,0.0033822574
10224010,109,1,0.005420422,0.98397964,0.0051968936,0.005403037
10419204,109,1,0.0031580578,0.9905194,0.00315412,0.0031683906
10457842,109,1,0.0042534345,0.9871912,0.0043053026,0.004250024
10574095,109,1,0.006307829,0.94830513,0.03911277,0.006274412
10620568,109,1,0.0034530687,0.90050846,0.09254574,0.00349273
10652180,109,1,0.003696911,0.98909634,0.0035689294,0.0036378508
10713370,109,1,0.0033067416,0.99010515,0.003274085,0.0033140404
10742226,109,1,0.0022693754,0.99315333,0.0022900137,0.00228729
10769755,109,1,0.003580829,0.9890937,0.003736718,0.003588849
10877778,109,1,0.003269574,0.99026906,0.0032082987,0.0032530874
10966386,109,1,0.004599153,0.9864449,0.004494281,0.004461726
10966441,109,1,0.004016017,0.98793286,0.004018121,0.0040329914
12144770,109,1,0.0039166,0.9882061,0.0039565098,0.0039208033
12374402,109,1,0.003830867,0.98854774,0.0038150242,0.0038064888
12454166,109,1,0.0029288158,0.8524679,0.14167678,0.0029265499
12495014,109,1,0.0049257632,0.98561096,0.0049570054,0.004506248
1669719,111,2,0.0042688474,0.024728687,0.0045339596,0.9664685
7774117,111,2,0.0025436715,0.0025403788,0.99234694,0.002569018
7856030,111,2,0.0051737335,0.0051948447,0.8541886,0.13544287
7913756,111,2,0.0024561384,0.0024449907,0.9926295,0.0024693287
7927332,111,2,0.0028657147,0.0028014975,0.99144894,0.0028838282
7936296,111,2,0.0054253004,0.005538453,0.9838049,0.0052313535
7991124,111,2,0.0038286191,0.0038370127,0.98846066,0.0038736921
8137126,111,2,0.004311842,0.10707589,0.28661942,0.60199285
8618678,111,2,0.006063798,0.0056701107,0.9824548,0.00581135
8657630,111,2,0.0072565414,0.08443346,0.6257912,0.28251877
8682199,111,2,0.002645399,0.002657393,0.1520497,0.84264755
8707291,111,2,0.0022124697,0.0022213385,0.9933118,0.0022543874
8797472,111,2,0.004901034,0.004513175,0.9858757,0.004710001
8841969,111,2,0.0034272596,0.0034840386,0.71172667,0.28136203
8937783,111,2,0.002982076,0.0029699574,0.9910301,0.0030179224
9128415,111,2,0.002103098,0.002115626,0.9936198,0.0021614423
9239743,111,2,0.0035635086,0.0036466285,0.44150805,0.55128175
9263413,111,2,0.010717084,0.010568792,0.5836361,0.395078
