DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
8042410,108,0,0.0020192806,0.002022819,0.002021613,0.64237255,0.0020222645,0.037619065,0.31192234
8132718,108,0,0.0015218036,0.99085647,0.0015239483,0.001523289,0.0015230582,0.0015255719,0.0015258504
8707050,108,0,0.0024691138,0.002467825,0.98519164,0.002466036,0.0024664693,0.0024684765,0.0024704833
9175625,108,0,0.0015912898,0.14654261,0.5513013,0.001591423,0.0015924564,0.11480853,0.18257242
9245791,108,0,0.0031149497,0.0031176405,0.0031239814,0.0031140961,0.0031120237,0.003109919,0.9813074
9346876,108,0,0.0017907543,0.0017918944,0.33517537,0.0017906225,0.0017906718,0.6558686,0.0017921008
9352931,108,0,0.0017476988,0.0017520346,0.39642888,0.26956517,0.0017483777,0.3270086,0.0017492106
9591694,108,0,0.0017061178,0.0017064229,0.001710427,0.001703846,0.0017038226,0.4554337,0.5360356
10051610,108,0,0.0033320743,0.0033437884,0.33126217,0.003338157,0.0033313395,0.65205544,0.0033370904
10087618,108,0,0.004478383,0.004495758,0.5625222,0.004469591,0.0044701793,0.32103607,0.098527804
10100328,108,0,0.0019360936,0.0019425782,0.8169789,0.17332943,0.0019351095,0.0019417824,0.001936215
10320929,108,0,0.0031102123,0.98131114,0.00311899,0.0031117194,0.0031095801,0.0031202848,0.0031180894
10531012,108,0,0.0015719531,0.001574377,0.66565824,0.0015731142,0.0015752541,0.3264687,0.001578336
10700148,108,0,0.0042233807,0.09050704,0.49400324,0.0042104125,0.0042179576,0.160321,0.24251696
10806067,108,0,0.0016635187,0.9900086,0.0016673878,0.0016639433,0.0016637666,0.0016650207,0.0016678572
10946305,108,0,0.0023493778,0.002353562,0.05928492,0.0023496335,0.0023519562,0.16767016,0.7636404
10969025,108,0,0.0021027508,0.0021065709,0.0021064817,0.0021040954,0.0021059413,0.0021059006,0.9873682
11950889,108,0,0.0013770262,0.0013775234,0.0013781913,0.0013765292,0.001377163,0.0013778456,0.9917357
12297500,108,0,0.0015437186,0.15494213,0.5393737,0.001542086,0.0015422064,0.29951525,0.0015409453
12417022,108,0,0.0021684794,0.0021715055,0.98698294,0.0021694088,0.0021690142,0.0021667257,0.0021717933
12496124,108,0,0.002926106,0.20789309,0.2658539,0.0029231466,0.0029221978,0.0029332812,0.51454836
12496132,108,0,0.0014902173,0.0014911947,0.37794778,0.0014908495,0.0014897063,0.120300286,0.49579
12511612,108,0,0.0012564199,0.0012568192,0.9084085,0.0012564659,0.001256767,0.0012567106,0.08530822
12516860,108,0,0.0028632255,0.1716623,0.46489078,0.0028656498,0.0028673662,0.35198167,0.0028690859
8908519,109,1,0.0021353858,0.309296,0.002138359,0.002134262,0.0021390722,0.6800187,0.0021381818
8940425,109,1,0.0016459911,0.0016456145,0.001645253,0.0016465926,0.0016480788,0.99012303,0.0016453653
9187765,109,1,0.0040889746,0.004088641,0.0040883627,0.004084894,0.0040828916,0.97547835,0.004087785
