DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33
8042410,108,0,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.9859454,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953,0.00043919953
8673465,108,0,0.0003443709,0.569929,0.0003443709,0.0003443709,0.4193952,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709,0.0003443709
9175625,108,0,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.17424253,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.0003885203,0.8137133,0.0003885203,0.0003885203
9245791,108,0,0.0007047675,0.6986216,0.0007047675,0.0007047675,0.27952993,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675,0.0007047675
9346876,108,0,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.98831606,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151,0.0003651151
9352931,108,0,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.0003741299,0.98802775,0.0003741299,0.0003741299,0.0003741299,0.0003741299
10051610,108,0,0.00072152395,0.00072152395,0.97691053,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395,0.00072152395
10087618,108,0,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.96656054,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562,0.0010449562
10320929,108,0,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.97936666,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782,0.000644782
10700148,108,0,0.00084179174,0.00084179174,0.00084179174,0.7397095,0.23419425,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174,0.00084179174
