DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
8132718,108,0,0.0006873669,0.0673397,0.5062322,0.29873526,0.0006873664,0.0006873667,0.00068736624,0.0006873671,0.120131895,0.00068736624,0.00068736635,0.0006873685,0.0006873669,0.0006873671,0.00068736717
8673465,108,0,0.0007326304,0.0007326305,0.00073263136,0.0007326305,0.00073263014,0.00073263067,0.00073263026,0.0007326305,0.00073263026,0.00073263096,0.0007326303,0.00073263067,0.0007326304,0.9897432,0.00073263055
8707050,108,0,0.0011495618,0.00114956,0.0011495594,0.0011495582,0.4947415,0.0011495588,0.001149559,0.0011495588,0.0011495601,0.0011495587,0.0011495588,0.0011495575,0.0011495599,0.49031413,0.0011495575
9175625,108,0,0.0007843506,0.0007843506,0.9890193,0.00078435056,0.0007843501,0.00078435056,0.00078435015,0.0007843509,0.00078435056,0.00078435015,0.00078435027,0.00078435027,0.00078435056,0.00078435184,0.0007843506
9245791,108,0,0.0012579157,0.0012579153,0.9823894,0.0012579169,0.001257916,0.0012579155,0.0012579159,0.001257916,0.0012579164,0.001257917,0.0012579159,0.0012579164,0.0012579155,0.0012579166,0.0012579167
9591694,108,0,0.017916476,0.0007093227,0.12116758,0.000709323,0.00070932234,0.22784008,0.00070932263,0.0007093227,0.0007093227,0.0007093244,0.0007093223,0.00070932315,0.07922308,0.5467597,0.0007093218
10051610,108,0,0.0016668041,0.64333797,0.33499387,0.0016668056,0.0016668054,0.0016668037,0.0016668044,0.0016668037,0.0016668041,0.0016668089,0.0016668038,0.0016668038,0.001666806,0.0016668072,0.0016668035
10087618,108,0,0.0020835013,0.07290048,0.2927646,0.0020834976,0.002083502,0.002083502,0.002083498,0.002083499,0.0020834983,0.002083499,0.0020834992,0.002083499,0.002083502,0.6093329,0.002083497
10100328,108,0,0.9862741,0.0009804362,0.0009804388,0.0009804365,0.0009804362,0.0009804366,0.0009804361,0.0009804374,0.0009804369,0.0009804369,0.0009804361,0.000980436,0.0009804368,0.000980439,0.0009804369
10320929,108,0,0.0014186095,0.0014186101,0.4411468,0.0014186095,0.001418609,0.0014186105,0.0014186074,0.0014186113,0.54041135,0.00141861,0.0014186099,0.0014186131,0.0014186118,0.0014186105,0.0014186078
10531012,108,0,0.0007663449,0.0007663431,0.08645365,0.0007663431,0.0007663427,0.0007663432,0.00076634274,0.0007663436,0.24832544,0.27990496,0.00076634274,0.0007663427,0.0007663442,0.37688628,0.00076634326
10700148,108,0,0.0018519788,0.001851979,0.79418546,0.0018519802,0.0018519813,0.0018519829,0.0018519798,0.001851981,0.0018519856,0.0018519826,0.0018519813,0.0018519813,0.0018519834,0.1817386,0.0018519823
10725388,108,0,0.000766327,0.00076632656,0.87407684,0.0007663263,0.0007663263,0.0007663264,0.0007663263,0.00076632627,0.0007663269,0.00076632656,0.00076632656,0.0007663261,0.00076632627,0.11596107,0.0007663263
10806067,108,0,0.00081306085,0.0008130605,0.0008130613,0.00081306044,0.0008130598,0.00081306003,0.0008130603,0.00081306096,0.0008130607,0.00081306114,0.0008130598,0.0008130608,0.06960821,0.91982204,0.00081306085
10946305,108,0,0.0010929458,0.0010929448,0.0010929456,0.0010929455,0.0010929448,0.0010929449,0.0010929446,0.001092946,0.0010929469,0.0010929448,0.0010929455,0.0010929448,0.9846988,0.001092945,0.0010929448
11950889,108,0,0.0006873715,0.0006873716,0.47681743,0.00068737223,0.5142469,0.0006873721,0.00068737107,0.0006873709,0.0006873729,0.00068737124,0.00068737136,0.0006873709,0.00068737124,0.0006873719,0.00068737153
12217649,108,0,0.0010101433,0.0010101431,0.0010101445,0.0010101432,0.0010101427,0.001010143,0.0010101426,0.0010101433,0.0010101446,0.0010101437,0.0010101428,0.0010101434,0.001010143,0.985858,0.0010101437
12415118,108,0,0.0008658348,0.00086583366,0.0008658363,0.0008658338,0.0008658335,0.0008658338,0.00086583354,0.00086583366,0.00086583366,0.00086583383,0.00086583366,0.0008658338,0.9878783,0.00086583424,0.00086583383
12461557,108,0,0.0019048864,0.0019048869,0.4375491,0.0019048871,0.0019048833,0.0019048918,0.0019048841,0.0019048897,0.0019048859,0.0019048918,0.0019048839,0.0019048895,0.53768754,0.0019048882,0.0019048849
