DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8
8042410,108,0,0.0017631913,0.0017644321,0.26629612,0.0017651438,0.0017645499,0.0017625293,0.1671346,0.55774945
8132718,108,0,0.0013905107,0.43125665,0.46637827,0.09541192,0.001391304,0.0013907551,0.0013900215,0.0013905916
8673465,108,0,0.0014052127,0.0014058702,0.9901607,0.0014053674,0.0014052452,0.0014052471,0.0014060042,0.0014063683
8707050,108,0,0.0021947557,0.0021960386,0.7343616,0.0021961648,0.0021977627,0.0021957965,0.25246087,0.00219695
9346876,108,0,0.0015275761,0.0015276104,0.63851565,0.0015265602,0.15008144,0.0015270661,0.0015257166,0.20376843
9352931,108,0,0.0015442306,0.0015451738,0.9891891,0.0015444133,0.0015441822,0.0015442711,0.0015436892,0.001544982
9591694,108,0,0.001421123,0.0014214023,0.41663948,0.5748315,0.0014227369,0.0014212121,0.0014209796,0.001421626
10051610,108,0,0.0029082973,0.0029105274,0.97963554,0.0029084764,0.0029087751,0.002908967,0.0029089358,0.002910534
10087618,108,0,0.003790353,0.0037888389,0.9734693,0.0037908033,0.0037917253,0.003789466,0.0037892738,0.0037901294
10100328,108,0,0.0018126685,0.0018137603,0.98730886,0.0018131649,0.0018121871,0.0018132458,0.0018128877,0.0018131908
10320929,108,0,0.0026605849,0.0026611392,0.0026661586,0.98136634,0.002662478,0.002660713,0.002661051,0.0026615437
10531012,108,0,0.0014538435,0.0014561375,0.9898184,0.0014547948,0.0014542757,0.0014541043,0.0014539794,0.0014545209
10725388,108,0,0.0013752426,0.0013767795,0.60126483,0.0013751859,0.3904816,0.0013763551,0.0013742911,0.0013757993
10806067,108,0,0.0015636771,0.29125038,0.59522504,0.0015657473,0.0015654771,0.0015658799,0.0015658322,0.105697975
10946305,108,0,0.002086189,0.002087598,0.23197627,0.0020874196,0.08733425,0.19811179,0.0020863926,0.47423014
10969025,108,0,0.0018955881,0.0018997269,0.41128203,0.0018964863,0.29771233,0.15189227,0.1315245,0.0018971263
11950889,108,0,0.0011801132,0.00118194,0.3904187,0.0011814381,0.60249394,0.0011807675,0.0011820978,0.0011809791
12217649,108,0,0.0019853837,0.0019879888,0.7353663,0.0019879052,0.25271502,0.0019862645,0.001984766,0.001986327
12297500,108,0,0.0013604807,0.06399143,0.64069587,0.0013604434,0.16293046,0.1269391,0.0013611439,0.0013611465
