DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
8042410,108,0,0.50025403,0.0029862556,0.10644632,0.07105337,0.31925997
8673465,108,0,0.065093376,0.14042757,0.0022971197,0.002305854,0.7898761
9175625,108,0,0.002645716,0.0026503662,0.002592762,0.0025935243,0.9895177
9245791,108,0,0.0047982256,0.5698891,0.004695211,0.0047457214,0.41587174
9346876,108,0,0.43488365,0.21970913,0.0024567086,0.002450411,0.34050003
9352931,108,0,0.047090728,0.5355398,0.0025011005,0.19321978,0.22164857
10051610,108,0,0.004955355,0.004962061,0.004865122,0.00492495,0.9802925
10087618,108,0,0.0069634644,0.0070299585,0.007026497,0.0069388933,0.9720412
10320929,108,0,0.0043598595,0.33148023,0.0043221833,0.004340301,0.6554975
10700148,108,0,0.2835872,0.005636251,0.0056655947,0.0056015407,0.69950944
10725388,108,0,0.002234666,0.85181284,0.0022227764,0.002223488,0.14150622
10806067,108,0,0.11068749,0.24094617,0.03696202,0.0025053786,0.60889894
10946305,108,0,0.49012232,0.30089092,0.0033526765,0.003347894,0.20228617
10969025,108,0,0.0030499084,0.4901859,0.0030103298,0.0030209534,0.5007329
11950889,108,0,0.2385931,0.22176023,0.15487096,0.0020994737,0.3826762
12217649,108,0,0.003307376,0.4450187,0.0032528022,0.0032530774,0.545168
12297500,108,0,0.0022261452,0.8359181,0.0022062242,0.0022133642,0.15743609
12415118,108,0,0.15645134,0.24088927,0.054543033,0.0028147695,0.5453016
12417022,108,0,0.25564402,0.5564745,0.027522463,0.0032007303,0.15715827
12461557,108,0,0.21752302,0.17640053,0.0061204312,0.0062079984,0.59374803
12496124,108,0,0.004336694,0.004268003,0.004265076,0.004199658,0.98293054
12496132,108,0,0.002451506,0.002466171,0.0024493716,0.0024524268,0.99018055
12516859,108,0,0.1104937,0.0042555765,0.0042489204,0.0043269466,0.87667483
12516860,108,0,0.3637081,0.0042017326,0.0041145342,0.00417582,0.6237998
8908519,109,1,0.0031514803,0.0031677005,0.0031445737,0.0031503811,0.98738587
8940425,109,1,0.00242492,0.16081567,0.0024217104,0.0024163413,0.83192134
9149812,109,1,0.0026030948,0.0026687412,0.002594753,0.0025810301,0.9895524
9187765,109,1,0.005601392,0.0056036864,0.005611383,0.005602691,0.97758085
9676381,109,1,0.0031227386,0.0031160042,0.0031516121,0.00311681,0.98749286
9836710,109,1,0.3256135,0.006181644,0.0061426917,0.0061520166,0.65591013
9889212,109,1,0.0020246916,0.0020148407,0.0020181646,0.0020277153,0.9919146
10084106,109,1,0.0026878812,0.0026958208,0.0027939316,0.0026877625,0.9891346
10224010,109,1,0.0041816677,0.0041702343,0.0041191285,0.0041727955,0.9833562
10419204,109,1,0.00250356,0.11708799,0.0024939976,0.0025026833,0.87541175
10457842,109,1,0.003378898,0.055313896,0.0034113117,0.0033812567,0.9345146
10574095,109,1,0.004941699,0.004946396,0.0049611633,0.0049171792,0.98023355
10620568,109,1,0.002716996,0.05197302,0.14916947,0.0027209902,0.79341954
10652180,109,1,0.0028647608,0.0028357692,0.00283087,0.0028552213,0.9886134
10713370,109,1,0.00258511,0.07627305,0.002595674,0.0025919366,0.91595423
10742226,109,1,0.0017925596,0.22408351,0.0017997224,0.0018053305,0.77051884
10769755,109,1,0.002829604,0.13546246,0.003017166,0.0028267999,0.8558639
10877778,109,1,0.0025816744,0.059076224,0.0025468965,0.0025670424,0.93322814
10966386,109,1,0.0035379147,0.47699425,0.0035015796,0.003489432,0.51247686
10966441,109,1,0.0031940902,0.16953094,0.0031996747,0.0031970658,0.82087827
12144770,109,1,0.003101691,0.2257487,0.0031045605,0.003106611,0.7649384
12374402,109,1,0.0030176055,0.003000993,0.0030051668,0.0030094776,0.9879667
12454166,109,1,0.0022753587,0.0022849273,0.2071103,0.002323656,0.7860058
12495014,109,1,0.0036383397,0.40870124,0.0036259878,0.0035639089,0.5804706
1669719,111,2,0.0033826642,0.3142722,0.61872154,0.06024386,0.00337983
7774117,111,2,0.0020136498,0.0020265724,0.9919305,0.0020168596,0.002012384
7856030,111,2,0.004061635,0.004055877,0.93056816,0.057249192,0.0040651225
7913756,111,2,0.0019404542,0.0019501137,0.9922361,0.0019383086,0.0019350187
7927332,111,2,0.002234605,0.0022181778,0.9910902,0.002239803,0.0022172423
7936296,111,2,0.003933567,0.0039267475,0.9841485,0.0039427117,0.0040485547
7991124,111,2,0.003019182,0.0030234049,0.98791337,0.0030251804,0.0030189555
8137126,111,2,0.0033695116,0.44946486,0.5403594,0.0033992014,0.003407034
8618678,111,2,0.0045980695,0.004528776,0.9818747,0.004524915,0.0044735796
8657630,111,2,0.005749902,0.15054902,0.7259208,0.005816511,0.11196383
8682199,111,2,0.0020877998,0.0021169526,0.44029838,0.55340844,0.0020884958
8707291,111,2,0.0017328663,0.0017316313,0.99306154,0.0017410186,0.0017329836
8797472,111,2,0.0036565727,0.0035567398,0.98564136,0.0036038551,0.0035413972
8841969,111,2,0.0026784262,0.0026767883,0.83601165,0.15593427,0.0026987884
8937783,111,2,0.0023513802,0.0023629752,0.99059284,0.0023490684,0.002343724
9128415,111,2,0.001646746,0.088146575,0.9068849,0.0016516887,0.0016700724
9239743,111,2,0.0028087022,0.0028652493,0.6474767,0.34401637,0.0028330518
9263413,111,2,0.008487551,0.008513694,0.7804908,0.19414435,0.008363596
9629853,111,2,0.0045726933,0.0045711845,0.9817061,0.0045812423,0.004568806
9789072,111,2,0.0021152624,0.075600505,0.90049374,0.019639023,0.00215146
10412591,111,2,0.0025792609,0.25867358,0.7336184,0.002595654,0.0025331036
12222676,111,2,0.0029201773,0.0029205699,0.75973094,0.1906924,0.04373592
12420099,111,2,0.0026467238,0.023810234,0.9682506,0.0026368685,0.0026555888
